genus_vernacular;species_vernacular;genus_scientific;genus_author;species_scientific;primary_use;secondary_use;wild
Steintäschel, Steinkresse;Gegenblättriges St.;Aethionema;R. BR.;Ae. oppositifolium;Z;NA;NA
Steintäschel, Steinkresse;Zierliches St.;Aethionema;R. BR.;Ae. coridifolium;Z;NA;NA
Steintäschel, Steinkresse;Großblütiges St.;Aethionema;R. BR.;Ae. grandiflorum;Z;NA;NA
Schleifenblume, Bauernsenf;Felsen-Sch.;Iberis;L.;I. saxatilis;Z;NA;NA
Schleifenblume, Bauernsenf;Immergrüne Sch.;Iberis;L.;I. sempervirens;Z;NA;NA
Schleifenblume, Bauernsenf;Doldige Sch.;Iberis;L.;I. umbellata;Z;NA;W
Schleifenblume, Bauernsenf;Bittere Sch.;Iberis;L.;I. amara;Z;NA;W
Brillenschötchen;Glattes B.;Biscutella;L.;B. laevigata;Z;NA;NA
Kresse;Breitblättrige K., Pfefferkraut;Lepidium;L.;L. latifolium;N;NA;W
Moricandie;Feld-M.;Moricandia;DC.;M. arvensis;Z;NA;NA
Kohl;Senf-K., Schwarzer Senf;Brassica;L.;B. nigra;N;NA;W
Kohl;"Ruten-K., Sarepta-Senf, Indischer Senf; Brauner Senf";Brassica;L.;B. juncea;N;NA;W
Kohl;Gemüse-K.;Brassica;L.;B. oleracea;N;NA;W
Kohl;"Raps; Kohlrübe";Brassica;L.;B. napus;N;NA;W
Kohl;"Rübsen, Stoppelrübe; China-K.";Brassica;L.;B. rapa;N;NA;W
Senf;Weißer S., Gelb-S.;Sinapis;L.;S. alba;N;NA;W
Rauke, Senfrauke;Salat-R., Rucola, Öl-R.;Eruca;MILL.;E. sativa;N;NA;W
Meerkohl;Tataren-M.;Crambe;L.;C. tatarica;Z;NA;NA
Meerkohl;Äthiopischer M.;Crambe;L.;C. abyssinica;N;NA;NA
Meerkohl;Echter M.;Crambe;L.;C. maritima;N;Z;NA
Meerkohl;Herzblättriger M.;Crambe;L.;C. cordifolia;Z;NA;NA
Rettich;Kultur-R.;Raphanus;L.;R. sativus;N;NA;W
Rettich;Gemüse-R.;Raphanus;L.;R. sativus convar. sativus;N;NA;NA
Rettich;Schlangen-R.;Raphanus;L.;R. sativus convar. caudatus;N;NA;NA
Rettich;"Öl-R.; Futter-R.";Raphanus;L.;R. sativus convar. oleifer;N;NA;NA
Resede, Wau;Färber-Resede, Wau;Reseda;L.;R. luteola;N;NA;W
Resede, Wau;Weiße Resede;Reseda;L.;R. alba;Z;NA;NA
Resede, Wau;Rapunzel-Wau;Reseda;L.;R. phyteuma;N;NA;NA
Resede, Wau;Garten-Resede;Reseda;L.;R. odorata;Z;NA;NA
Palavie;Fiederschnittige P.;Palaua;CAV.;P. dissecta;Z;NA;NA
Sommermalve;Spanische S.;Malope;L.;M. trifida;Z;NA;NA
Kitaibelie;Weinblättrige K.;Kitaibela;NA;K. vitifolia;Z;NA;NA
Samtpappel;Chinesische S.;Abutilon;MILL.;A. theophrasti;Z;NA;W
Skimmie;Chinesische S.;Skimmia;THUNB.;S. reevesiana;Z;NA;NA
Samtpappel;Rio-Grande-S.;Abutilon;MILL.;A. megapotamicum;Z;NA;NA
Samtpappel;Hybrid-S.;Abutilon;MILL.;A. hybridum;Z;NA;NA
Samtpappel;Bunte S.;Abutilon;MILL.;A. pictum;Z;NA;NA
Samtpappel;Valdivia-S.;Abutilon;MILL.;A. ochsenii;Z;NA;NA
Samtpappel;Weinblättrige S.;Abutilon;MILL.;A. vitifolium;Z;NA;NA
Kugelmalve;Dreizählige K.;Sphaeralcea;A.;S. coccinea;Z;NA;NA
Kugelmalve;Munro-K.;Sphaeralcea;A.;S. munroana;Z;NA;NA
Scheinmalve;Kapländische S.;Anisodontea;C.;A. capensis;Z;NA;NA
Scheinmalve;Raue S.;Anisodontea;C.;A. scabrosa;Z;NA;NA
Scheinmalve;Hybrid-S.;Anisodontea;C.;A. hybridum;Z;NA;NA
Strauchpappel, Strauchmalve;Bäumchenähnliche St.;Lavatera;L.;L. arborea;Z;NA;NA
Strauchpappel, Strauchmalve;Sommer-St., Garten-St.;Lavatera;L.;L. trimestris;Z;NA;NA
Strauchpappel, Strauchmalve;Thüringer St.;Lavatera;L.;L. thuringiaca;Z;NA;W
Strauchpappel, Strauchmalve;Südfranzösische St.;Lavatera;L.;L. olbia;Z;NA;NA
Eibisch;Echter E.;Althaea;L.;A. officinalis;Z;N;NA
Eibisch;Hanfblättriger E.;Althaea;L.;A. cannabina;Z;NA;NA
Stockrose, Stockmalve;Garten-S.;Alcea;L.;A. rosea;Z;NA;NA
Sonnenauge;Garten-S.;Heliopsis;L.;H. helianthoides;Z;NA;NA
Stockrose, Stockmalve;Gelbe S.;Alcea;L.;A. rugosa;Z;NA;NA
Silberwurz;Gelbe S.;Dryas;L.;D. drummondii;Z;NA;NA
Malve;Spitzblatt-M., Sigmarswurz;Malva;L.;M. alcea;Z;NA;W
Malve;Moschus-M.;Malva;L.;M. moschata;Z;NA;W
Malve;Quirl-M.;Malva;L.;M. verticillata;N;NA;W
Minze;Quirl-M.;Mentha;L.;M. × verticillata;Z;NA;NA
Malve;Wilde M., Rosspappel, Große Käsepappel;Malva;L.;M. sylvestris;Z;NA;W
Präriemalve, Doppelmalve;Weiße P.;Sidalcea;A.;S. candida;Z;NA;NA
Pestwurz;Weiße P.;Petasites;MILL.;P. albus;Z;NA;W
Präriemalve, Doppelmalve;Malvenblütige P.;Sidalcea;A.;S. malviflora;Z;NA;NA
Mohnmalve;Außenkelchlose M.;Callirhoë;NUTT.;C. digitata;Z;NA;NA
Mohnmalve;Niedrige M.;Callirhoë;NUTT.;C. involucrata;Z;NA;NA
Anode, Spießmalve;Anode;Anoda;CAV.;A. cristata;Z;NA;NA
Roseneibisch;Chinesischer R.;Hibiscus;L.;H. rosa-sinensis;Z;NA;NA
Roseneibisch;Sumpf-R.;Hibiscus;L.;H. moscheutos;Z;NA;NA
Rispengras, Rispe;Sumpf-R.;Poa;L.;P. palustris;Z;NA;W
Roseneibisch;Stunden-R., Garten-R.;Hibiscus;L.;H. trionum;Z;NA;W
Roseneibisch;Rosella-R.;Hibiscus;L.;H. sabdariffa;Z;NA;NA
Bisameibisch;Maniok-B.;Abelmoschus;MEDIK.;A. manihot;Z;NA;NA
Bisameibisch;Moschus-B.;Abelmoschus;MEDIK.;A. moschatus;Z;NA;NA
Bisameibisch;Okra-B., Lady’s Finger;Abelmoschus;MEDIK.;A. esculentus;Z;NA;NA
Buchsbaum;Gewöhnlicher B.;Buxus;L.;B. sempervirens;Z;NA;W
Blutweiderich;Gewöhnlicher B.;Lythrum;L.;L. salicaria;Z;NA;W
Beinwell;Gewöhnlicher B.;Symphytum;L.;S. officinale;Z;NA;W
Beifuß, Estragon, Wermut, Edelraute;Gewöhnlicher B.;Artemisia;L.;A. vulgaris;Z;N;NA
Ysander, Dickmännchen;Japanischer Y.;Pachysandra;MICHX.;P. terminalis;Z;NA;NA
Ysander, Dickmännchen;Amerikanischer Y.;Pachysandra;MICHX.;P. procumbens;Z;NA;NA
Ysander, Dickmännchen;Achselblättriger Y.;Pachysandra;MICHX.;P. axillaris;Z;NA;NA
Rizinus, Wunderbaum;Rizinus, Wunderbaum;Ricinus;L.;R. communis;Z;NA;NA
Wolfsmilch;Spring-W.;Euphorbia;L.;E. lathyris;Z;NA;W
Wolfsmilch;Weißrandige W., Schnee auf dem Berge;Euphorbia;L.;E. marginata;Z;NA;NA
Wolfsmilch;Poinsettien-W., Feuer in den Bergen;Euphorbia;L.;E. cyathophora;Z;NA;NA
Wolfsmilch;Dornige W.;Euphorbia;L.;E. spinosa;Z;NA;NA
Wolfsmilch;Dornbusch-W.;Euphorbia;L.;E. acanthothamnos;Z;NA;NA
Wolfsmilch;Mandel-W.;Euphorbia;L.;C. flammula;Z;NA;W
Wolfsmilch;Palisaden-W.;Euphorbia;L.;E. characias;Z;NA;NA
Wolfsmilch;Walzen-W.;Euphorbia;L.;E. myrsinites;Z;NA;NA
Wolfsmilch;Zypressen-W.;Euphorbia;L.;E. cyparissias;Z;NA;W
Wolfsmilch;Nizza-W.;Euphorbia;L.;E. nicaeensis;Z;NA;NA
Wolfsmilch;Steppen-W.;Euphorbia;L.;E. seguieriana;Z;NA;W
Wolfsmilch;Rasen-W.;Euphorbia;L.;E. capitulata;Z;NA;NA
Wolfsmilch;Steppen-W.;Euphorbia;L.;E. seguieriana;Z;NA;W
Wolfsmilch;Nizza-W.;Euphorbia;L.;E. nicaeensis;Z;NA;NA
Wolfsmilch;Sumpf-W.;Euphorbia;L.;E. palustris;Z;NA;W
Wolfsmilch;Vielfarbige W.;Euphorbia;L.;E. epithymoides;Z;NA;W
Wolfsmilch;Süße W.;Euphorbia;L.;E. dulcis;Z;NA;W
Wolfsmilch;Warzen-W.;Euphorbia;L.;E. verrucosa;Z;NA;W
Seidelbast;Gewöhnlicher S., Kellerhals;Daphne;L.;D. mezereum;Z;NA;W
Seidelbast;Nordjapanischer S.;Daphne;L.;D. jezoensis;Z;NA;NA
Seidelbast;Altai-S.;Daphne;L.;D. altaica;Z;NA;NA
Seidelbast;Lorbeer-S.;Daphne;L.;D. laureola;Z;NA;W
Seidelbast;Pontischer S.;Daphne;L.;D. pontica;Z;NA;NA
Seidelbast;Jasminähnlicher S.;Daphne;L.;D. jasminea;Z;NA;NA
Seidelbast;Ölbaumähnlicher S.;Daphne;L.;D. oleoides;Z;NA;NA
Seidelbast;Königs-S.;Daphne;L.;D. blagayana;Z;NA;NA
Seidelbast;Bäumchen-S.;Daphne;L.;D. arbuscula;Z;NA;NA
Seidelbast;Felsen-S.;Daphne;L.;D. petraea;Z;NA;NA
Straußgras;Felsen-S.;Agrostis;L.;A. rupestris;Z;NA;W
Seidelbast;Gestreifter S., Steinröschen, Alpenflieder;Daphne;L.;D. striata;Z;NA;W
Seidelbast;Burkwood-S.;Daphne;L.;D.× burkwoodii;Z;NA;W
Seidelbast;Rosmarien-S., Heideröschen;Daphne;L.;D. cneorum;Z;NA;W
Zwergalpenrose, Zwergrösel;Zwergalpenrose;Rhodothamnus;RCHB.;Rh. Chamaecistus;Z;NA;NA
Lorbeerrose, Kalmie;Schmalblättrige L.;Kalmia;L.;K. angustifolia;Z;NA;NA
Lorbeerrose, Kalmie;Poleiblättrige L.;Kalmia;L.;K. polifolia;Z;NA;NA
Lorbeerrose, Kalmie;Breitblättrige L., Berg-L.;Kalmia;L.;K. latifolia;Z;NA;NA
Sandmyrte;Sandmyrte;Leiophyllum;R. HEDW.;L buxifolium;Z;NA;NA
Moosheide;Arktische M.;Phyllodoce;SALISB.;Ph. aleutica;Z;NA;NA
Moosheide;Japanische M;Phyllodoce;SALISB.;Ph. nipponica;Z;NA;NA
Moosheide;Purpur-M.;Phyllodoce;SALISB.;Ph. breweri;Z;NA;NA
Moosheide;Bläuliche M.;Phyllodoce;SALISB.;Ph. coerulea;Z;NA;NA
Moosheide;Krähenbeerblättrige M.;Phyllodoce;SALISB.;Ph. empetriformis;Z;NA;NA
Glanzheide;Irische G.;Daboecia;D.;D. cantabrica;Z;NA;NA
Alpenazalee, Gämsheide;Alpenazalee, Gämsheide;Loiseleuria;DESV.;L. procumbens;Z;NA;W
Rhododendron, Alpenrose, Azalee;Dahurische Azalee;Rhododendron;L.;Rh. dauricum;Z;NA;NA
Rhododendron, Alpenrose, Azalee;Stachelspitzige Azalee;Rhododendron;L.;Rh. mucronulatum;Z;NA;NA
Rhododendron, Alpenrose, Azalee;Bewimperte Alpenrose, Almrausch;Rhododendron;L.;Rh. hirsutum;Z;NA;W
Rhododendron, Alpenrose, Azalee;Rostblättrige Alpenrose;Rhododendron;L.;Rh. ferrugineum;Z;NA;W
Rhododendron, Alpenrose, Azalee;Veilchenblauer Rh.;Rhododendron;L.;Rh. impeditum f.;Z;NA;NA
Rhododendron, Alpenrose, Azalee;Rötlicher Rh.;Rhododendron;L.;Rh. russatum f.;Z;NA;NA
Rhododendron, Alpenrose, Azalee;Grauer Rh.;Rhododendron;L.;Rh. hippophaëoides f.;Z;NA;NA
Porst;Sumpf-P.;Ledum;L.;L. palustre;Z;NA;W
Porst;Grönländischer P.;Ledum;L.;L. groenlandicum;Z;NA;W
Schuppenheide;Moosähnliche Sch.;Cassiope;D.;C. hypnoides;Z;NA;NA
Schuppenheide;Steller-Sch.;Cassiope;D.;C. stelleriana;Z;NA;NA
Schuppenheide;Vierkant-Sch.;Cassiope;D.;C. tetragona;Z;NA;NA
Schuppenheide;Bärlappähnliche Sch.;Cassiope;D.;C. lycopodioides;Z;NA;NA
Schuppenheide;Weiße Sch.;Cassiope;D.;C. mertensiana;Z;NA;NA
Schwalbenwurz;Weiße Sch.;Vincetoxicum;D.;V. hirundinaria;Z;NA;W
Scheinkalla;Weiße Sch.;Lysichiton;D.;L. camtschatcensis;Z;NA;NA
Rebhuhnbeere, Scheinbeere;Niedere R.;Gaultheria;L.;G. procumbens;Z;NA;NA
Rebhuhnbeere, Scheinbeere;Stechende R., Torfmyrte;Gaultheria;L.;G. mucronata;Z;NA;NA
Rebhuhnbeere, Scheinbeere;Miquel-R.;Gaultheria;L.;G. miqueliana;Z;NA;NA
Rebhuhnbeere, Scheinbeere;Hohe R.;Gaultheria;L.;G. shallon;Z;NA;NA
Gränke, Rosmarinheide;Polei-G., Rosmarinheide;Andromeda;L.;A. polifolia;Z;NA;W
Gränke, Rosmarinheide;Behaarte G., Behaarte Rosmarinheide;Andromeda;L.;A. glaucophylla;Z;NA;NA
Zenobie;Gewöhnliche Z.;Zenobia;D. DON;Z. pulverulenta;Z;NA;NA
Torfgränke, Zwerglorbeer;Torfgränke;Chamaedaphne;MOENCH;Ch. calyculata;Z;NA;NA
Bärentraube;Alpen-B.;Arctostaphylos;ADANS.;A. alpinus;Z;NA;W
Bartfaden;Alpen-B.;Penstemon;SCHMIDEL;P. alpinus;Z;NA;NA
Berufkraut, Feinstrahl;Alpen-B.;Erigeron;L.;E. alpinus;Z;NA;W
Bergscharte;Alpen-B.;Stemmacantha;CASS;St. rhapontica;Z;NA;NA
Bärentraube;Echte B.;Arctostaphylos;ADANS.;A. uva-ursi;N;Z;NA
Heidelbeere, Preiselbeere, Moosbeere;Großfrüchtige Moosbeere, Krannbeere;Vaccinium;L.;V. macrocarpon;Z;NA;W
Heidelbeere, Preiselbeere, Moosbeere;Gewöhnliche Moosbeere;Vaccinium;L.;V. oxycoccus;Z;NA;W
Heidelbeere, Preiselbeere, Moosbeere;Preiselbeere, Kronsbeere;Vaccinium;L.;V. vitis-idaea;N;Z;NA
Heidelbeere, Preiselbeere, Moosbeere;Amerikanische H.;Vaccinium;L.;V. corymbosum;Z;N;NA
Heidelbeere, Preiselbeere, Moosbeere;Moor-H., Rauschbeere, Trunkelbeere;Vaccinium;L.;V. uliginosum;Z;NA;W
Heidelbeere, Preiselbeere, Moosbeere;Heidelbeere, Blaubeere;Vaccinium;L.;V. myrtillus;Z;NA;W
Heidelbeere, Preiselbeere, Moosbeere;Kaukasische H.;Vaccinium;L.;V. arctostaphylos;Z;NA;NA
Heidekraut;Heidekraut, Besenheide;Calluna;SALISB.;C. vulgaris;Z;NA;W
Heide;Schlanke H.;Erica;L.;E. gracilis;Z;NA;NA
Heide;Glocken-H.;Erica;L.;E. tetralix;Z;NA;W
Heide;Steife H.;Erica;L.;E. terminalis;Z;NA;NA
Heide;Graue H.;Erica;L.;E. cinerea;Z;NA;NA
Heide;Wimper-H.;Erica;L.;E. ciliaris;Z;NA;NA
Heide;Cornwall-H.;Erica;L.;E. vagans;Z;NA;NA
Heide;Schnee-H.;Erica;L.;E. carnea;Z;NA;W
Heide;Purpur-H.;Erica;L.;E. erigena;Z;NA;NA
Ährenheide;Ährenheide;Bruckenthalia;RCHB.;B. spiculifolia;Z;NA;NA
Krähenbeere;Rotfrüchtige K.;Empetrum;L.;E. rubrum;Z;NA;NA
Krähenbeere;Zwittrige K.;Empetrum;L.;E. hermaphroditum;Z;NA;W
Bronzeblatt, Zauberstab;Bronzeblatt, Zauberstab;Galax;SIMS;G. urceolata;Z;NA;NA
Winterblatt;Alpenglöckchenähnliches W.;Shortia;TORR.;Sh. soldanelloides;Z;NA;NA
Winterblatt;Galaxblättriges W.;Shortia;TORR.;Sh. galacifolia;Z;NA;NA
Winterblatt;Einblütiges W.;Shortia;TORR.;Sh. uniflora;Z;NA;NA
Gilbweiderich, Felberich;Purpurblütiger F.;Lysimachia;L.;L. atropurpurea;Z;NA;NA
Gilbweiderich, Felberich;Iberischer F.;Lysimachia;L.;L. ephemerum;Z;NA;NA
Gilbweiderich, Felberich;Fortune-F.;Lysimachia;L.;L. fortunei;Z;NA;NA
Gilbweiderich, Felberich;Schnee-F., Entenschnabel-F.;Lysimachia;L.;L. clethroides;Z;NA;NA
Gilbweiderich, Felberich;Schwerähriger F.;Lysimachia;L.;L. barystachys;Z;NA;NA
Gilbweiderich, Felberich;Strauß-G.;Lysimachia;L.;L. thyrsiflora;Z;NA;W
Glockenblume;Strauß-G.;Campanula;L.;C. thyrsoides;Z;NA;W
Gilbweiderich, Felberich;Gedrängtblütiger G.;Lysimachia;L.;L. congestiflora;Z;NA;NA
Gilbweiderich, Felberich;Henry-G.;Lysimachia;L.;L. henryi;Z;NA;NA
Gilbweiderich, Felberich;Bewimperter G.;Lysimachia;L.;L. ciliata;Z;NA;NA
Gilbweiderich, Felberich;Gewöhnlicher G.;Lysimachia;L.;L. vulgaris;Z;NA;W
Gilbweiderich, Felberich;Drüsiger G.;Lysimachia;L.;L. punctata;Z;NA;W
Gilbweiderich, Felberich;Pfennig-G., Pfennigkraut;Lysimachia;L.;L. nummularia;Z;NA;W
Gilbweiderich, Felberich;Hain-G.;Lysimachia;L.;L. nemorum;Z;NA;W
Siebenstern;Europäischer S.;Trientalis;L.;T. europaea;Z;NA;W
Gauchheil;Mittelmeer-G.;Anagallis;NA;A. monellii;Z;NA;NA
Gauchheil;Zarter G.;Anagallis;NA;A. tenella;Z;NA;W
Gauchheil;Wechselblättriger G.;Anagallis;NA;A. alternifolia var. repens;Z;NA;NA
Alpenveilchen;Zimmer-A.;Cyclamen;L.;C. persicum;Z;NA;NA
Alpenveilchen;Libysches A.;Cyclamen;L.;C. rohlfsianum;Z;NA;NA
Alpenveilchen;Griechisches A.;Cyclamen;L.;C. graecum;Z;NA;NA
Alpenveilchen;Zyprisches A.;Cyclamen;L.;C. cyprium;Z;NA;NA
Alpenveilchen;Herbst-A., Neapolitanisches A.;Cyclamen;L.;C. hederifolium;Z;NA;NA
Alpenveilchen;Algerisches A.;Cyclamen;L.;C. africanum;Z;NA;NA
Alpenveilchen;Wildes A.;Cyclamen;L.;C. purpurascens;Z;NA;W
Alpenveilchen;Türkisches A.;Cyclamen;L.;C. cilicium;Z;NA;NA
Alpenveilchen;Wunderbares A.;Cyclamen;L.;C. mirabile;Z;NA;NA
Alpenveilchen;Balearen-A.;Cyclamen;L.;C. balearicum;Z;NA;NA
Alpenveilchen;Kreta-A.;Cyclamen;L.;C. creticum;Z;NA;NA
Alpenveilchen;Efeublättriges A.;Cyclamen;L.;C. repandum;Z;NA;NA
Alpenveilchen;Freiland-A.;Cyclamen;L.;C. coum;Z;NA;NA
Alpenveilchen;Südosttürkisches A.;Cyclamen;L.;C. pseudibericum;Z;NA;NA
Alpenveilchen;Flügelrand-A.;Cyclamen;L.;C. trochopteranthum;Z;NA;NA
Alpenveilchen;Kleinblütiges A.;Cyclamen;L.;C. parviflorum;Z;NA;NA
Heilglöckel;Semenov-H.;Cortusa;L.;C. semenovii;Z;NA;NA
Heilglöckel;Peking-H., Chinesi-sches H.;Cortusa;L.;C. pekinensis;Z;NA;W
Heilglöckel;Alpen-H.;Cortusa;L.;C. matthioli;Z;NA;W
Mannsschild;Riesen-M.;Androsace;L.;A. maxima;Z;NA;W
Mannsschild;Fädiger M.;Androsace;L.;A. filiformis;Z;NA;NA
Mannsschild;Verlängerter M.;Androsace;L.;A. elongata;Z;NA;W
Mannsschild;Nördlicher M.;Androsace;L.;A. septentrionalis;Z;NA;W
Mannsschild;Rundblättriger M.;Androsace;L.;A. rotundifolia;Z;NA;NA
Mannsschild;Frauenmantel-M.;Androsace;L.;A. alchemilloides;Z;NA;NA
Mannsschild;Sikkim-M.;Androsace;L.;A. strigillosa;Z;NA;NA
Mannsschild;Milchweißer M.;Androsace;L.;A. lactea;Z;NA;W
Mannsschild;Zottiger M.;Androsace;L.;A. villosa;Z;NA;NA
Mannsschild;Bewimperter M.;Androsace;L.;A. chamaejasme;Z;NA;W
Mannsschild;Fleischroter M.;Androsace;L.;A. carnea;Z;NA;NA
Mannsschild;Stumpfblättriger M.;Androsace;L.;A. obtusifolia;Z;NA;W
Mannsschild;Kugeltragender M.;Androsace;L.;A. globifera;Z;NA;NA
Mannsschild;Pyrenäen-M.;Androsace;L.;A. pyrenaica;Z;NA;NA
Mannsschild;Milchweißer M.;Androsace;L.;A. lactea;Z;NA;W
Mannsschild;Vandell-M.;Androsace;L.;A. vandellii;Z;NA;NA
Mannsschild;Zylindrischer M.;Androsace;L.;A. cylindrica;Z;NA;NA
Mannsschild;Schweizer M.;Androsace;L.;A. helvetica;Z;NA;W
Mannsschild;Apenninischer M.;Androsace;L.;A. mathildae;Z;NA;NA
Mannsschild;Weichhaariger M.;Androsace;L.;A. pubescens;Z;NA;NA
Mannsschild;Alpen-M.;Androsace;L.;A. alpina;Z;NA;NA
Mutterwurz;Alpen-M.;Ligusticum;L.;L. mutellina;Z;NA;W
Milchlattich;Alpen-M.;Cicerbita;L.;C. alpina;Z;NA;W
Goldprimel;Goldprimel;Vitaliana;L.;V. primuliflora;Z;NA;NA
Primel, Schlüsselblume;Gamsblume, Alpen-Aurikel;Primula;L.;P. auricula;Z;NA;W
Primel, Schlüsselblume;Palinuri-P.;Primula;L.;P. palinuri;Z;NA;NA
Primel, Schlüsselblume;New Mexico-P.;Primula;L.;P. ellisiae;Z;NA;NA
Primel, Schlüsselblume;Seealpen-P.;Primula;L.;P. marginata;Z;NA;NA
Primel, Schlüsselblume;Breitblättrige P.;Primula;L.;P. latifolia;Z;NA;NA
Primel, Schlüsselblume;Ansehnliche P.;Primula;L.;P. spectabilis;Z;NA;NA
Purpurkappenorchis;Ansehnliche P.;Galearis;L.;G. spectabilis;Z;NA;NA
Primel, Schlüsselblume;Zwerg-P., Habmichlieb;Primula;L.;P. minima;Z;NA;W
Primel, Schlüsselblume;Wulfen-P., Südostalpen-P.;Primula;L.;P. wulfeniana;Z;NA;NA
Primel, Schlüsselblume;Meergrüne P.;Primula;L.;P. glaucescens;Z;NA;NA
Primel, Schlüsselblume;Piemont-P.;Primula;L.;P. pedemontana;Z;NA;NA
Primel, Schlüsselblume;Zottige P.;Primula;L.;P. villosa;Z;NA;NA
Primel, Schlüsselblume;Behaarte P.;Primula;L.;P. hirsuta;Z;NA;W
Primel, Schlüsselblume;Allioni-P.;Primula;L.;P. allionii;Z;NA;NA
Primel, Schlüsselblume;Ganzblättrige P.;Primula;L.;P. integrifolia;Z;NA;NA
Primel, Schlüsselblume;Clusius-P.;Primula;L.;P. clusiana;Z;NA;W
Primel, Schlüsselblume;Schwarzmeer-P.;Primula;L.;P. megaseifolia;Z;NA;NA
Primel, Schlüsselblume;Teppich-P.;Primula;L.;P. juliae;Z;NA;NA
Primel, Schlüsselblume;Clark-P.;Primula;L.;P. clarkei;Z;NA;NA
Primel, Schlüsselblume;Vielnervige P., Veitch-P.;Primula;L.;P. polyneura;Z;NA;NA
Primel, Schlüsselblume;Siebold-P.;Primula;L.;P. sieboldii;Z;NA;NA
Primel, Schlüsselblume;Heilglöckel-P.;Primula;L.;P. cortusoides;Z;NA;NA
Primel, Schlüsselblume;Schaftlose P.;Primula;L.;P. vulgaris;Z;NA;W
Primel, Schlüsselblume;Ähren-P.;Primula;L.;P. flaccida;Z;NA;NA
Primel, Schlüsselblume;Orchideen-P.;Primula;L.;P. vialii;Z;NA;NA
Primel, Schlüsselblume;Reid-P.;Primula;L.;P. reidii;Z;NA;NA
Primel, Schlüsselblume;Kopf-P.;Primula;L.;P. capitata;Z;NA;NA
Primel, Schlüsselblume;Kugel-P.;Primula;L.;P. denticulata;Z;NA;NA
Primel, Schlüsselblume;Siebold-P.;Primula;L.;P. sieboldii;Z;NA;NA
Primel, Schlüsselblume;Heilglöckel-P.;Primula;L.;P. cortusoides;Z;NA;NA
Primel, Schlüsselblume;Cockburn-P.;Primula;L.;P. cockburniana;Z;NA;NA
Primel, Schlüsselblume;Wiesen-P., Wiesenschlüsselblume, Himmelschlüssel;Primula;L.;P. veris;Z;NA;W
Primel, Schlüsselblume;Tibet-P.;Primula;L.;P. florindae;Z;NA;NA
Primel, Schlüsselblume;Rosen-P.;Primula;L.;P. rosea;Z;NA;NA
Primel, Schlüsselblume;Mehl-P.;Primula;L.;P. farinosa;Z;NA;W
Primel, Schlüsselblume;Laubreiche P.;Primula;L.;NA;NA;NA;NA
Primel, Schlüsselblume;Weißblütige P.;Primula;L.;P. chionantha f.;Z;NA;NA
Primel, Schlüsselblume;Weißblütige P.;Primula;L.;P. chionantha f.;Z;NA;NA
Primel, Schlüsselblume;Sikkim-P.;Primula;L.;P. sikkimensis;Z;NA;NA
Primel, Schlüsselblume;Hohe P., Wald-P., Hohe Sch., Himmelschlüssel;Primula;L.;P. elatior;Z;NA;W
Primel, Schlüsselblume;Wiesen-P., Wiesen-Sch., Himmelschlüssel;Primula;L.;NA;NA;NA;NA
Primel, Schlüsselblume;Weißblütige P.;Primula;L.;P. chionantha f.;Z;NA;NA
Primel, Schlüsselblume;Weißblütige P.;Primula;L.;P. chionantha f.;Z;NA;NA
Primel, Schlüsselblume;Poisson-P.;Primula;L.;P. poissonii;Z;NA;NA
Primel, Schlüsselblume;Orangeblütige P.;Primula;L.;P. aurantiaca;Z;NA;NA
Primel, Schlüsselblume;Bulley-P.;Primula;L.;P. bulleyana subsp. bulleyana;Z;NA;NA
Primel, Schlüsselblume;Cockburn-P.;Primula;L.;P. cockburniana;Z;NA;NA
Primel, Schlüsselblume;Yunnan-P.;Primula;L.;P. chungensis f.;Z;NA;NA
Primel, Schlüsselblume;Siebold-P.;Primula;L.;P. sieboldii;Z;NA;NA
Primel, Schlüsselblume;Heilglöckel-P.;Primula;L.;P. cortusoides;Z;NA;NA
Primel, Schlüsselblume;Japan-P.;Primula;L.;P. japonica;Z;NA;NA
Primel, Schlüsselblume;Burma-P.;Primula;L.;P. burmanica f.;Z;NA;NA
Primel, Schlüsselblume;Bees-P.;Primula;L.;P. bulleyana subsp. beesiana;Z;NA;NA
Primel, Schlüsselblume;Sichuan-P.;Primula;L.;P. pulverulenta;Z;NA;NA
Dionysie;Hüllkelch-D.;Dionysia;FENZL;D. involucrata;Z;NA;NA
Dionysie;Rollblatt-D.;Dionysia;FENZL;D. aretioides;Z;NA;NA
Dionysie;Matten-D.;Dionysia;FENZL;D. tapetodes;Z;NA;NA
Wasserfeder, Wasserprimel;Europäische Wasserfeder, Wasserprimel;Hottonia;L.;NA;NA;NA;NA
Wasserfeder, Wasserprimel;Amerikanische W.;Hottonia;L.;NA;NA;NA;NA
Götterblume;Gezähnte G.;Dodecatheon;L.;D. dentatum;Z;NA;NA
Götterblume;Alpine G.;Dodecatheon;L.;D. alpinum;Z;NA;NA
Götterblume;Hohe G.;Dodecatheon;L.;D. jeffreyi;Z;NA;NA
Götterblume;Henderson-G;Dodecatheon;L.;D. hendersonii;Z;NA;NA
Götterblume;Cleveland-G.;Dodecatheon;L.;D. clevelandii;Z;NA;NA
Götterblume;Schöne G.;Dodecatheon;L.;D. pulchellum subsp. pulc;Z;NA;NA
Götterblume;Columbia-G.;Dodecatheon;L.;D. pulchellum subsp. cusi;Z;NA;NA
