vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Japanische T.;– N. japonica DC.;Japanische T.;N. japonica DC.;N. japonica DC.;N. japonica DC.;N. japonica DC.;N. japonica
Große T.;– N. lutea (L.) SIBTH. et SM. ;Große T.;N. lutea (L.) SIBTH. et SM. ;N. lutea (L.) SIBTH. et SM. ;N. lutea (L.) SIBTH. et SM. ;N. lutea (L.) SIBTH. et SM. ;N. lutea
Zwerg-T.;– N. pumila (TIMM) DC.4 (1) SchwimmBlSpr;Zwerg-T.;N. pumila (TIMM) DC.4 (1) SchwimmBlSpr;N. pumila (TIMM) DC.4 (1) SchwimmBlSpr;N. pumila (TIMM) DC.;N. pumila (TIMM) DC.;N. pumila
Pfeilblättrige T.;– N. sagittifolia (WALTER) PURSH4* Schwi;Pfeilblättrige T.;N. sagittifolia (WALTER) PURSH4* Schwi;N. sagittifolia (WALTER) PURSH4* Schwi;N. sagittifolia (WALTER) PURSH;N. sagittifolia (WALTER) PURSH;N. sagittifolia
Indianer-T.;– N. polysepala ENGELM.;Indianer-T.;N. polysepala ENGELM.;N. polysepala ENGELM.;N. polysepala ENGELM.;N. polysepala ENGELM.;N. polysepala
Stierkopf-T.;– N. variegata DURAND;Stierkopf-T.;N. variegata DURAND;N. variegata DURAND;N. variegata DURAND;N. variegata DURAND;N. variegata
Amerikanische T.;– N. advena (AITON) W. T. AITON;Amerikanische T.;N. advena (AITON) W. T. AITON;N. advena (AITON) W. T. AITON;N. advena (AITON) W. T. AITON;N. advena (AITON) W. T. AITON;N. advena
Mexikanische S.;– N. mexicana ZUCC.;Mexikanische S.;N. mexicana ZUCC.;N. mexicana ZUCC.;N. mexicana ZUCC.;N. mexicana ZUCC.;N. mexicana
Schwedische S.;– N. alba L. f. rosea C. HARTM.;Schwedische S.;N. alba L. f. rosea C. HARTM.;N. alba L. f. rosea C. HARTM.;N. alba L. f. rosea C. HARTM.;N. alba L. f. rosea C. HARTM.;N. alba f. rosea
Kleine S.;– N. candida C. PRESL5 (3) Rhizom mit kn;Kleine S.;N. candida C. PRESL5 (3) Rhizom mit kn;N. candida C. PRESL5 (3) Rhizom mit kn;N. candida C. PRESL;N. candida C. PRESL;N. candida
Knollen-S.;– N. tuberosa PAINE5* Rhizom walzlich, o;Knollen-S.;N. tuberosa PAINE5* Rhizom walzlich, o;N. tuberosa PAINE5* Rhizom walzlich, o;N. tuberosa PAINE;N. tuberosa PAINE;N. tuberosa
Wohlriechende S.;– N. odorata AITON;Wohlriechende S.;N. odorata AITON;N. odorata AITON;N. odorata AITON;N. odorata AITON;N. odorata
Weiße S.;– N. alba L.;Weiße S.;N. alba L.;N. alba L.;N. alba L.;N. alba L.;N. alba
Indische L.;– N. nucifera GAERTN.;Indische L.;N. nucifera GAERTN.;N. nucifera GAERTN.;N. nucifera GAERTN.;N. nucifera GAERTN.;N. nucifera
Amerikanische L.;– N. lutea (WILLD.) PERS.;Amerikanische L.;N. lutea (WILLD.) PERS.;N. lutea (WILLD.) PERS.;N. lutea (WILLD.) PERS.;N. lutea (WILLD.) PERS.;N. lutea
Kanadische O.;– H. canadensis L. ;Kanadische O.;H. canadensis L. ;H. canadensis L. ;H. canadensis L. ;H. canadensis L. ;H. canadensis
Streifenfarnblättriger G.;– C. aspleniifolia SALISB.2* NektarBl ve;Streifenfarnblättriger G.;C. aspleniifolia SALISB.2* NektarBl ve;C. aspleniifolia SALISB.2* NektarBl ve;C. aspleniifolia SALISB.;C. aspleniifolia SALISB.;C. aspleniifolia
Japanischer G.;– C. japonica (THUNB.) MAKINO var. disse;Japanischer G.;C. japonica (THUNB.) MAKINO var. disse;C. japonica (THUNB.) MAKINO var. disse;C. japonica (THUNB.) MAKINO var. disse;C. japonica (THUNB.) MAKINO var. disse;C. japonica var. disse
Fünfblättriger G.;– C. quinquefolia MIQ.;Fünfblättriger G.;C. quinquefolia MIQ.;C. quinquefolia MIQ.;C. quinquefolia MIQ.;C. quinquefolia MIQ.;C. quinquefolia
Dreiblättriger G.;– C. trifolia (L.) SALISB.4* Blchen deut;Dreiblättriger G.;C. trifolia (L.) SALISB.4* Blchen deut;C. trifolia (L.) SALISB.4* Blchen deut;C. trifolia (L.) SALISB.;C. trifolia (L.) SALISB.;C. trifolia
Großblättrige Sch.;– A. macrophylla SIEBOLD et ZUCC.;Großblättrige Sch.;A. macrophylla SIEBOLD et ZUCC.;A. macrophylla SIEBOLD et ZUCC.;A. macrophylla SIEBOLD et ZUCC.;A. macrophylla SIEBOLD et ZUCC.;A. macrophylla
Juli-S.;– C. racemosa (L.) NUTT.2* Frchen längli;Juli-S.;C. racemosa (L.) NUTT.2* Frchen längli;C. racemosa (L.) NUTT.2* Frchen längli;C. racemosa (L.) NUTT.;C. racemosa (L.) NUTT.;C. racemosa
Große S.;– C. elata NUTT.;Große S.;C. elata NUTT.;C. elata NUTT.;C. elata NUTT.;C. elata NUTT.;C. elata
September-S., Japanische S.;– C. japonica (THUNB.) SPRENG.;September-S., Japanische S.;C. japonica (THUNB.) SPRENG.;C. japonica (THUNB.) SPRENG.;C. japonica (THUNB.) SPRENG.;C. japonica (THUNB.) SPRENG.;C. japonica
Appalachen-S.;– C. rubifolia KEARNEY;Appalachen-S.;C. rubifolia KEARNEY;C. rubifolia KEARNEY;C. rubifolia KEARNEY;C. rubifolia KEARNEY;C. rubifolia
August-S.;– C. dahurica (TURCZ. ex FISCH. et C. A.;August-S.;C. dahurica (TURCZ. ex FISCH. et C. A.;C. dahurica (TURCZ. ex FISCH. et C. A.;C. dahurica (TURCZ. ex FISCH. et C. A.;C. dahurica (TURCZ. ex FISCH. et C. A.;C. dahurica
Oktober-S.;– C. simplex (DC.) WORMSK.: B zwittrig, ;Oktober-S.;C. simplex (DC.) WORMSK.: B zwittrig, ;C. simplex (DC.) WORMSK.: B zwittrig, ;C. simplex (DC.) WORMSK.;C. simplex (DC.) WORMSK.;C. simplex
Amerikanische S.;– C. americana MICHX.;Amerikanische S.;C. americana MICHX.;C. americana MICHX.;C. americana MICHX.;C. americana MICHX.;C. americana
Stinkende S.;– C. foetida L.Ähnlich: Europäische S. –;Stinkende S.;C. foetida L.Ähnlich: Europäische S. –;C. foetida L.Ähnlich: Europäische S. –;C. foetida L.;C. foetida L.;C. foetida
Schwarzfrüchtiges Ch.;– A. spicata L.;Schwarzfrüchtiges Ch.;A. spicata L.;A. spicata L.;A. spicata L.;A. spicata L.;A. spicata
Asiatisches Ch.;– A. asiatica H. HARA3 (1) FrStiel nicht;Asiatisches Ch.;A. asiatica H. HARA3 (1) FrStiel nicht;A. asiatica H. HARA3 (1) FrStiel nicht;A. asiatica H. HARA;A. asiatica H. HARA;A. asiatica
Rotes Ch.;– A. rubra (AITON) WILLD.;Rotes Ch.;A. rubra (AITON) WILLD.;A. rubra (AITON) WILLD.;A. rubra (AITON) WILLD.;A. rubra (AITON) WILLD.;A. rubra
Dickstieliges Ch.;– A. pachypoda ELLIOTT;Dickstieliges Ch.;A. pachypoda ELLIOTT;A. pachypoda ELLIOTT;A. pachypoda ELLIOTT;A. pachypoda ELLIOTT;A. pachypoda
Stinkende N.;– H. foetidus L.;Stinkende N.;H. foetidus L.;H. foetidus L.;H. foetidus L.;H. foetidus L.;H. foetidus
Korsische N.;– H. argutifolius VIV.Ähnlich: Mallorqui;Korsische N.;H. argutifolius VIV.Ähnlich: Mallorqui;H. argutifolius VIV.Ähnlich: Mallorqui;H. argutifolius VIV.;H. argutifolius VIV.;H. argutifolius
Wohlriechende N.;– H. odorus WALDST. et KIT.Ähnlich: Grün;Wohlriechende N.;H. odorus WALDST. et KIT.Ähnlich: Grün;H. odorus WALDST. et KIT.Ähnlich: Grün;H. odorus WALDST. et KIT.;H. odorus WALDST. et KIT.;H. odorus
Orientalische N.;– H. orientalis LAM.;Orientalische N.;H. orientalis LAM.;H. orientalis LAM.;H. orientalis LAM.;H. orientalis LAM.;H. orientalis
Wiesenrauten-M.;– I. thalictroides L. ;Wiesenrauten-M.;I. thalictroides L. ;I. thalictroides L. ;I. thalictroides L. ;I. thalictroides L. ;I. thalictroides
Rasenbildende P.;– P. caespitosa (BOISS. et HOHEN.) J. R.;Rasenbildende P.;P. caespitosa (BOISS. et HOHEN.) J. R.;P. caespitosa (BOISS. et HOHEN.) J. R.;P. caespitosa (BOISS. et HOHEN.) J. R.;P. caespitosa (BOISS. et HOHEN.) J. R.;P. caespitosa
Anemonenähnliche P.;– P. anemonoides (WILLD.) ULBR.Ähnlich: ;Anemonenähnliche P.;P. anemonoides (WILLD.) ULBR.Ähnlich: ;P. anemonoides (WILLD.) ULBR.Ähnlich: ;P. anemonoides (WILLD.) ULBR.;P. anemonoides (WILLD.) ULBR.;P. anemonoides
Moschuskrautähnliche Sch.;– S. adoxoides (DC.) MAKINO;Moschuskrautähnliche Sch.;S. adoxoides (DC.) MAKINO;S. adoxoides (DC.) MAKINO;S. adoxoides (DC.) MAKINO;S. adoxoides (DC.) MAKINO;S. adoxoides
Spornlose A.;– A. ecalcarata MAXIM.3 (1) Sporn am End;Spornlose A.;A. ecalcarata MAXIM.3 (1) Sporn am End;A. ecalcarata MAXIM.3 (1) Sporn am End;A. ecalcarata MAXIM.;A. ecalcarata MAXIM.;A. ecalcarata
Gold-A.;– A. aurea JANKAÄhnlich: Gelbliche A. – ;Gold-A.;A. aurea JANKAÄhnlich: Gelbliche A. – ;A. aurea JANKAÄhnlich: Gelbliche A. – ;A. aurea JANKA;A. aurea JANKA;A. aurea
Niedrige A.;– A. saximontana RYDB.;Niedrige A.;A. saximontana RYDB.;A. saximontana RYDB.;A. saximontana RYDB.;A. saximontana RYDB.;A. saximontana
Sibirische A.;– A. sibirica LAM.;Sibirische A.;A. sibirica LAM.;A. sibirica LAM.;A. sibirica LAM.;A. sibirica LAM.;A. sibirica
Drüsige A.;– A. glandulosa FISCH. ex LINK;Drüsige A.;A. glandulosa FISCH. ex LINK;A. glandulosa FISCH. ex LINK;A. glandulosa FISCH. ex LINK;A. glandulosa FISCH. ex LINK;A. glandulosa
Laramie-A., Wyoming-A.;– A. laramiensis A. NELSON10* BHüllBl bl;Laramie-A., Wyoming-A.;A. laramiensis A. NELSON10* BHüllBl bl;A. laramiensis A. NELSON10* BHüllBl bl;A. laramiensis A. NELSON;A. laramiensis A. NELSON;A. laramiensis
Kaukasische A.;– A. olympica BOISS.Ähnlich: Balkanische;Kaukasische A.;A. olympica BOISS.Ähnlich: Balkanische;A. olympica BOISS.Ähnlich: Balkanische;A. olympica BOISS.;A. olympica BOISS.;A. olympica
Schwarzviolette A.;– A. atrata W. D. J. KOCH;Schwarzviolette A.;A. atrata W. D. J. KOCH;A. atrata W. D. J. KOCH;A. atrata W. D. J. KOCH;A. atrata W. D. J. KOCH;A. atrata
Alpen-A.;– A. alpina L. ;Alpen-A.;A. alpina L. ;A. alpina L. ;A. alpina L. ;A. alpina L. ;A. alpina
Bertoloni-A.;– A. bertolonii SCHOTT;Bertoloni-A.;A. bertolonii SCHOTT;A. bertolonii SCHOTT;A. bertolonii SCHOTT;A. bertolonii SCHOTT;A. bertolonii
Gewöhnliche A.;– A. vulgaris L.: ∞ Sorten, s. 15*2* B a;Gewöhnliche A.;A. vulgaris L.: ∞ Sorten, s. 15*2* B a;A. vulgaris L.: ∞ Sorten, s. 15*2* B a;A. vulgaris L.;A. vulgaris L.;A. vulgaris
Gelbliche A.;– A. flavescens S. WATSON: BHüllBl 12–22;Gelbliche A.;A. flavescens S. WATSON: BHüllBl 12–22;A. flavescens S. WATSON: BHüllBl 12–22;A. flavescens S. WATSON;A. flavescens S. WATSON;A. flavescens
Schöne A.;– A. formosa FISCH. ex DC. var. formosa2;Schöne A.;A. formosa FISCH. ex DC. var. formosa2;A. formosa FISCH. ex DC. var. formosa2;A. formosa FISCH. ex DC. var. formosa;A. formosa FISCH. ex DC. var. formosa;A. formosa var. formosa
Shockley-A.;– A. shockleyi EASTW.21 (18) Blchen bis ;Shockley-A.;A. shockleyi EASTW.21 (18) Blchen bis ;A. shockleyi EASTW.21 (18) Blchen bis ;A. shockleyi EASTW.;A. shockleyi EASTW.;A. shockleyi
Rote A.;– A. canadensis L.;Rote A.;A. canadensis L.;A. canadensis L.;A. canadensis L.;A. canadensis L.;A. canadensis
Einöde-A.;– A. desertorum (M. E. JONES) A. HELLER;Einöde-A.;A. desertorum (M. E. JONES) A. HELLER;A. desertorum (M. E. JONES) A. HELLER;A. desertorum (M. E. JONES) A. HELLER;A. desertorum (M. E. JONES) A. HELLER;A. desertorum
Felsen-A.;– A. scopulorum TIDESTR.;Felsen-A.;A. scopulorum TIDESTR.;A. scopulorum TIDESTR.;A. scopulorum TIDESTR.;A. scopulorum TIDESTR.;A. scopulorum
Aquilegia-Hybriden;– A. × cultorumBERGMANS, A. × hybrida ho;Aquilegia-Hybriden;A. × cultorumBERGMANS, A. × hybrida ho;A. × cultorumBERGMANS, A. × hybrida ho;A. × cultorumBERGMANS, A. × hybrida ho;A. × cultorumBERGMANS, A. × hybrida ho;A. hybrida
Kalifornische A.;– A. pubescens COVILLE25* Sporn 42–180 m;Kalifornische A.;A. pubescens COVILLE25* Sporn 42–180 m;A. pubescens COVILLE25* Sporn 42180 m;A. pubescens COVILLE;A. pubescens COVILLE;A. pubescens
Langsporn-A.;– A. longissima A. GRAY ex S. WATSON26* ;Langsporn-A.;A. longissima A. GRAY ex S. WATSON26* ;A. longissima A. GRAY ex S. WATSON26* ;A. longissima A. GRAY ex S. WATSON;A. longissima A. GRAY ex S. WATSON;A. longissima
Goldsporn-A.;– A. chrysantha A. GRAY27 (22) B deutlic;Goldsporn-A.;A. chrysantha A. GRAY27 (22) B deutlic;A. chrysantha A. GRAY27 (22) B deutlic;A. chrysantha A. GRAY;A. chrysantha A. GRAY;A. chrysantha
Balkanische A.;– A. ottonis BOISS. subsp. amaliae (HELD;Balkanische A.;A. ottonis BOISS. subsp. amaliae (HELD;A. ottonis BOISS. subsp. amaliae (HELD;A. ottonis BOISS. subsp. amaliae (HELD;A. ottonis BOISS. subsp. amaliae (HELD;A. ottonis subsp. amaliae
Japanische A.;– A. buergeriana SIEBOLD et ZUCC. f. fla;Japanische A.;A. buergeriana SIEBOLD et ZUCC. f. fla;A. buergeriana SIEBOLD et ZUCC. f. fla;A. buergeriana SIEBOLD et ZUCC. f. fla;A. buergeriana SIEBOLD et ZUCC. f. fla;A. buergeriana f.
Schnee-A.;– A. nivalis FALC. ex JACKS.29* Sporn so;Schnee-A.;A. nivalis FALC. ex JACKS.29* Sporn so;A. nivalis FALC. ex JACKS.29* Sporn so;A. nivalis FALC. ex JACKS.;A. nivalis FALC. ex JACKS.;A. nivalis
Jones-A.;– A. jonesii PARRY;Jones-A.;A. jonesii PARRY;A. jonesii PARRY;A. jonesii PARRY;A. jonesii PARRY;A. jonesii
Grünblütige A.;– A. viridiflora PALLAS32* BHüllBl 15–35;Grünblütige A.;A. viridiflora PALLAS32* BHüllBl 15–35;A. viridiflora PALLAS32* BHüllBl 15–35;A. viridiflora PALLAS;A. viridiflora PALLAS;A. viridiflora
Wiesenrauten-A.;– A. thalictrifolia SCHOTT et KOTSCHY34*;Wiesenrauten-A.;A. thalictrifolia SCHOTT et KOTSCHY34*;A. thalictrifolia SCHOTT et KOTSCHY34*;A. thalictrifolia SCHOTT et KOTSCHY;A. thalictrifolia SCHOTT et KOTSCHY;A. thalictrifolia
Kleinblütige A.;– A. einseleana F. W. SCHULTZ;Kleinblütige A.;A. einseleana F. W. SCHULTZ;A. einseleana F. W. SCHULTZ;A. einseleana F. W. SCHULTZ;A. einseleana F. W. SCHULTZ;A. einseleana
Pyrenäen-A.;– A. pyrenaica DC.;Pyrenäen-A.;A. pyrenaica DC.;A. pyrenaica DC.;A. pyrenaica DC.;A. pyrenaica DC.;A. pyrenaica
Korsische A.;– A. bernardii GREN. et GODR.;Korsische A.;A. bernardii GREN. et GODR.;A. bernardii GREN. et GODR.;A. bernardii GREN. et GODR.;A. bernardii GREN. et GODR.;A. bernardii
Wohlriechende A.;– A. fragrans BENTH.;Wohlriechende A.;A. fragrans BENTH.;A. fragrans BENTH.;A. fragrans BENTH.;A. fragrans BENTH.;A. fragrans
Sierra Nevada-A.;– A. nevadensis BOISS. et REUT.;Sierra Nevada-A.;A. nevadensis BOISS. et REUT.;A. nevadensis BOISS. et REUT.;A. nevadensis BOISS. et REUT.;A. nevadensis BOISS. et REUT.;A. nevadensis
Angenehme A.;– A. grata F. MALY ex ZIMMETER;Angenehme A.;A. grata F. MALY ex ZIMMETER;A. grata F. MALY ex ZIMMETER;A. grata F. MALY ex ZIMMETER;A. grata F. MALY ex ZIMMETER;A. grata
Schwimmende D.;– C. natans PALL.;Schwimmende D.;C. natans PALL.;C. natans PALL.;C. natans PALL.;C. natans PALL.;C. natans
Westamerikanische D.;– C. leptosepala DC.;Westamerikanische D.;C. leptosepala DC.;C. leptosepala DC.;C. leptosepala DC.;C. leptosepala DC.;C. leptosepala
Sumpf-D.;– C. palustris L.Trollblume – Trollius L;Sumpf-D.;C. palustris L.Trollblume – Trollius L;C. palustris L.Trollblume Trollius L;C. palustris L.Trollblume Trollius L;C. palustris L.Trollblume Trollius L;C. palustris
Kaschmir-T.;– T. acaulis LINDL.;Kaschmir-T.;T. acaulis LINDL.;T. acaulis LINDL.;T. acaulis LINDL.;T. acaulis LINDL.;T. acaulis
Chinesische T.;– T. chinensis BUNGE3* NektarBl kürzer a;Chinesische T.;T. chinensis BUNGE3* NektarBl kürzer a;T. chinensis BUNGE3* NektarBl kürzer a;T. chinensis BUNGE;T. chinensis BUNGE;T. chinensis
Asiatische T.;– T. asiaticus L.;Asiatische T.;T. asiaticus L.;T. asiaticus L.;T. asiaticus L.;T. asiaticus L.;T. asiaticus
Niedrige T.;– T. pumilus D. DON4* Pfl meist 30–60 cm;Niedrige T.;T. pumilus D. DON4* Pfl meist 30–60 cm;T. pumilus D. DON4* Pfl meist 3060 cm;T. pumilus D. DON;T. pumilus D. DON;T. pumilus
Trollblume, Kugelranunkel;– T. europaeus L.5* BHüllBl spreizend, B;Trollblume, Kugelranunkel;T. europaeus L.5* BHüllBl spreizend, B;T. europaeus L.5* BHüllBl spreizend, B;T. europaeus L.;T. europaeus L.;T. europaeus
Yunnan-T.;– T. yunnanensis (FRANCH.) ULBR.;Yunnan-T.;T. yunnanensis (FRANCH.) ULBR.;T. yunnanensis (FRANCH.) ULBR.;T. yunnanensis (FRANCH.) ULBR.;T. yunnanensis (FRANCH.) ULBR.;T. yunnanensis
Damaszener Sch., Jungfer im Grünen, Braut in Haaren;– N. damascena L.;Damaszener Sch., Jungfer im Grünen, Braut in Haaren;N. damascena L.;N. damascena L.;N. damascena L.;N. damascena L.;N. damascena
Spanischer Sch.;– N. hispanica L.2* B 3,5–4,5 cm ∅, bläu;Spanischer Sch.;N. hispanica L.2* B 3,5–4,5 cm ∅, bläu;N. hispanica L.2* B 3,54,5 cm ∅, bläu;N. hispanica L.;N. hispanica L.;N. hispanica
Echter Sch.;– N. sativa L.;Echter Sch.;N. sativa L.;N. sativa L.;N. sativa L.;N. sativa L.;N. sativa
Weißvioletter E.;– A. alboviolaceum KOM. var. alboviolace;Weißvioletter E.;A. alboviolaceum KOM. var. alboviolace;A. alboviolaceum KOM. var. alboviolace;A. alboviolaceum KOM. var. alboviolace;A. alboviolaceum KOM. var. alboviolace;A. alboviolaceum var. alboviolace
Hemsley-E.;– A. hemsleyanum E. PRITZ.;Hemsley-E.;A. hemsleyanum E. PRITZ.;A. hemsleyanum E. PRITZ.;A. hemsleyanum E. PRITZ.;A. hemsleyanum E. PRITZ.;A. hemsleyanum
Windender E.;– A. volubile PALL. ex KOELLE;Windender E.;A. volubile PALL. ex KOELLE;A. volubile PALL. ex KOELLE;A. volubile PALL. ex KOELLE;A. volubile PALL. ex KOELLE;A. volubile
Henry-E.;– A. henryi E. PRITZ. var. henryi;Henry-E.;A. henryi E. PRITZ. var. henryi;A. henryi E. PRITZ. var. henryi;A. henryi E. PRITZ. var. henryi;A. henryi E. PRITZ. var. henryi;A. henryi var. henryi
Feinblatt-E., Blassgelber E., Giftheil;– A. anthora L.6* Wurzeln nicht deutlich;Feinblatt-E., Blassgelber E., Giftheil;A. anthora L.6* Wurzeln nicht deutlich;A. anthora L.6* Wurzeln nicht deutlich;A. anthora L.;A. anthora L.;A. anthora
Moldawischer E.;– A. moldavicum HACQ.7* Helm bis 2mal so;Moldawischer E.;A. moldavicum HACQ.7* Helm bis 2mal so;A. moldavicum HACQ.7* Helm bis 2mal so;A. moldavicum HACQ.;A. moldavicum HACQ.;A. moldavicum
Chinesischer E.;– A. carmichaelii DEBEAUX;Chinesischer E.;A. carmichaelii DEBEAUX;A. carmichaelii DEBEAUX;A. carmichaelii DEBEAUX;A. carmichaelii DEBEAUX;A. carmichaelii
Rispen-E.;– A. degenii GÁYER10* Helm deutlich höhe;Rispen-E.;A. degenii GÁYER10* Helm deutlich höhe;A. degenii GÁYER10* Helm deutlich höhe;A. degenii GÁYER;A. degenii GÁYER;A. degenii
Bunter E.;– A. variegatum agg.)  . . . . . . . . .;Bunter E.;A. variegatum agg.)  . . . . . . . . .;A. variegatum agg.)  . . . . . . . . .;A. variegatum agg.)  . . . . . . . . .;A. variegatum agg.)  . . . . . . . . .;A. variegatum
Raustiel-E., Behaarter E.;– A. pilipes (RCHB.) GÁYER12 (9) BHüllBl;Raustiel-E., Behaarter E.;A. pilipes (RCHB.) GÁYER12 (9) BHüllBl;A. pilipes (RCHB.) GÁYER12 (9) BHüllBl;A. pilipes (RCHB.) GÁYER;A. pilipes (RCHB.) GÁYER;A. pilipes
Tauern-E.;– A. tauricum WULFEN;Tauern-E.;A. tauricum WULFEN;A. tauricum WULFEN;A. tauricum WULFEN;A. tauricum WULFEN;A. tauricum
Blauer E.;–A. napellus agg.)  . . . . . . . . . . ;Blauer E.;A. napellus agg.)  . . . . . . . . . . ;A. napellus agg.)  . . . . . . . . . . ;A. napellus agg.)  . . . . . . . . . . ;A. napellus agg.)  . . . . . . . . . . ;A. napellus
Sudeten-E.;– A. plicatum KÖHLER ex RCHB.;Sudeten-E.;A. plicatum KÖHLER ex RCHB.;A. plicatum KÖHLER ex RCHB.;A. plicatum KÖHLER ex RCHB.;A. plicatum KÖHLER ex RCHB.;A. plicatum
Gelber R.;– D. semibarbatum BIEN. ex BOISS.2* BHül;Gelber R.;D. semibarbatum BIEN. ex BOISS.2* BHül;D. semibarbatum BIEN. ex BOISS.2* BHül;D. semibarbatum BIEN. ex BOISS.;D. semibarbatum BIEN. ex BOISS.;D. semibarbatum
Roter R.;– D. cardinale HOOK.3* BlAbschnitte im U;Roter R.;D. cardinale HOOK.3* BlAbschnitte im U;D. cardinale HOOK.3* BlAbschnitte im U;D. cardinale HOOK.;D. cardinale HOOK.;D. cardinale
Nacktstängliger R.;– D. nudicaule TORR. et A. GRAY4 (1) Pfl;Nacktstängliger R.;D. nudicaule TORR. et A. GRAY4 (1) Pfl;D. nudicaule TORR. et A. GRAY4 (1) Pfl;D. nudicaule TORR. et A. GRAY;D. nudicaule TORR. et A. GRAY;D. nudicaule
Mittelmeer-R., Stephanskraut;– D. staphisagria L.Ähnlich: Requien-R. ;Mittelmeer-R., Stephanskraut;D. staphisagria L.Ähnlich: Requien-R. ;D. staphisagria L.Ähnlich: Requien-R. ;D. staphisagria L.;D. staphisagria L.;D. staphisagria
Himalaja-R.;– D. brunonianum ROYLE;Himalaja-R.;D. brunonianum ROYLE;D. brunonianum ROYLE;D. brunonianum ROYLE;D. brunonianum ROYLE;D. brunonianum
Hoher-R.;– D. elatum L.;Hoher-R.;D. elatum L.;D. elatum L.;D. elatum L.;D. elatum L.;D. elatum
Kaschmir-R.;– D. cashmerianum ROYLE;Kaschmir-R.;D. cashmerianum ROYLE;D. cashmerianum ROYLE;D. cashmerianum ROYLE;D. cashmerianum ROYLE;D. cashmerianum
Schlitzblättriger R.;– D. fissum WALDST. et KIT.8* Pfl ohne k;Schlitzblättriger R.;D. fissum WALDST. et KIT.8* Pfl ohne k;D. fissum WALDST. et KIT.8* Pfl ohne k;D. fissum WALDST. et KIT.;D. fissum WALDST. et KIT.;D. fissum
Großblütiger R.;– D. grandiflorum L.Ähnlich: Sichuan-R. ;Großblütiger R.;D. grandiflorum L.Ähnlich: Sichuan-R. ;D. grandiflorum L.Ähnlich: Sichuan-R. ;D. grandiflorum L.;D. grandiflorum L.;D. grandiflorum
Feld-R.;– C. regalis GRAY;Feld-R.;C. regalis GRAY;C. regalis GRAY;C. regalis GRAY;C. regalis GRAY;C. regalis
Orientalischer R.;– C. hispanica (COSTA) GREUTER et BURDET;Orientalischer R.;C. hispanica (COSTA) GREUTER et BURDET;C. hispanica (COSTA) GREUTER et BURDET;C. hispanica (COSTA) GREUTER et BURDET;C. hispanica (COSTA) GREUTER et BURDET;C. hispanica
Alpen-W.;– Th. alpinum L.;Alpen-W.;Th. alpinum L.;Th. alpinum L.;Th. alpinum L.;Th. alpinum L.;Th. alpinum
Chinesische W.;– Th. delavayi FRANCH. var. delavayi;Chinesische W.;Th. delavayi FRANCH. var. delavayi;Th. delavayi FRANCH. var. delavayi;Th. delavayi FRANCH. var. delavayi;Th. delavayi FRANCH. var. delavayi;Th. delavayi var. delavayi
Akelei-W.;– Th. aquilegifolium L.;Akelei-W.;Th. aquilegifolium L.;Th. aquilegifolium L.;Th. aquilegifolium L.;Th. aquilegifolium L.;Th. aquilegifolium
Gelbe W.;– Th. flavum L.Ähnlich: Blaugrüne W., Pr;Gelbe W.;Th. flavum L.Ähnlich: Blaugrüne W., Pr;Th. flavum L.Ähnlich: Blaugrüne W., Pr;Th. flavum L.;Th. flavum L.;Th. flavum
Weinblättrige A.;– A. vitifolia BUCH.-HAM. ex DC.3* BlSpr;Weinblättrige A.;A. vitifolia BUCH.-HAM. ex DC.3* BlSpr;A. vitifolia BUCH.-HAM. ex DC.3* BlSpr;A. vitifolia BUCH.-HAM. ex DC.;A. vitifolia BUCH.-HAM. ex DC.;A. vitifolia
Filzblättrige A.;– A. tomentosa (MAXIM.) C. PEI4* BlSprei;Filzblättrige A.;A. tomentosa (MAXIM.) C. PEI4* BlSprei;A. tomentosa (MAXIM.) C. PEI4* BlSprei;A. tomentosa (MAXIM.) C. PEI;A. tomentosa (MAXIM.) C. PEI;A. tomentosa
Herbst-A.;– A. hupehensis (LEMOINE) LEMOINE var. h;Herbst-A.;A. hupehensis (LEMOINE) LEMOINE var. h;A. hupehensis (LEMOINE) LEMOINE var. h;A. hupehensis (LEMOINE) LEMOINE var. h;A. hupehensis (LEMOINE) LEMOINE var. h;A. hupehensis var. hupensis
Carolina-A.;– A. caroliniana WALTER;Carolina-A.;A. caroliniana WALTER;A. caroliniana WALTER;A. caroliniana WALTER;A. caroliniana WALTER;A. caroliniana
Westmediterrane A.;– A. palmata L.;Westmediterrane A.;A. palmata L.;A. palmata L.;A. palmata L.;A. palmata L.;A. palmata
Garten-A., Kronen-A.;– A. coronaria L.;Garten-A., Kronen-A.;A. coronaria L.;A. coronaria L.;A. coronaria L.;A. coronaria L.;A. coronaria
Stern-A.;– A. hortensis L.Ähnlich: Pfauen-A. – A.;Stern-A.;A. hortensis L.Ähnlich: Pfauen-A. – A.;A. hortensis L.Ähnlich: Pfauen-A. – A.;A. hortensis L.;A. hortensis L.;A. hortensis
Monte Baldo-W., Tiroler W.;– A. baldensis L.;Monte Baldo-W., Tiroler W.;A. baldensis L.;A. baldensis L.;A. baldensis L.;A. baldensis L.;A. baldensis
Spanische A.;– A. pavoniana BOISS.;Spanische A.;A. pavoniana BOISS.;A. pavoniana BOISS.;A. pavoniana BOISS.;A. pavoniana BOISS.;A. pavoniana
