vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Waterer-Hybrid-Z.;– C. × watereri EXELL ‘Pendulus’7* BlSpr;Waterer-Hybrid-Z.;C. × watereri EXELL ‘Pendulus’7* BlSpr;C. × watereri EXELL ‘Pendulus’7* BlSpr;C. × watereri EXELL ‘Pendulus’;C. × watereri EXELL ‘Pendulus’;C. × watereri
Sargent-Z.;– C. sargentii G. KLOTZ8 (6) BlSpreite v;Sargent-Z.;C. sargentii G. KLOTZ8 (6) BlSpreite v;C. sargentii G. KLOTZ8 (6) BlSpreite v;C. sargentii G. KLOTZ;C. sargentii G. KLOTZ;C. sargentii
Teppich-Z.;– C. dammeri C. K. SCHNEID.8* BlSpreite ;Teppich-Z.;C. dammeri C. K. SCHNEID.8* BlSpreite ;C. dammeri C. K. SCHNEID.8* BlSpreite ;C. dammeri C. K. SCHNEID.;C. dammeri C. K. SCHNEID.;C. dammeri
Wurzelnde Z.;– C. radicans (C. K. SCHNEID.) G. KLOTZ9;Wurzelnde Z.;C. radicans (C. K. SCHNEID.) G. KLOTZ9;C. radicans (C. K. SCHNEID.) G. KLOTZ9;C. radicans (C. K. SCHNEID.) G. KLOTZ;C. radicans (C. K. SCHNEID.) G. KLOTZ;C. radicans
Niederliegende Z.;– C. procumbens G. KLOTZ;Niederliegende Z.;C. procumbens G. KLOTZ;C. procumbens G. KLOTZ;C. procumbens G. KLOTZ;C. procumbens G. KLOTZ;C. procumbens
Yunnan-Z.;– C. cochleatus (FRANCH.) G. KLOTZ11* Pf;Yunnan-Z.;C. cochleatus (FRANCH.) G. KLOTZ11* Pf;C. cochleatus (FRANCH.) G. KLOTZ11* Pf;C. cochleatus (FRANCH.) G. KLOTZ;C. cochleatus (FRANCH.) G. KLOTZ;C. cochleatus
Kleinblättrige Z.;– C. microphyllus WALL. ex LINDL.Ähnlich;Kleinblättrige Z.;C. microphyllus WALL. ex LINDL.Ähnlich;C. microphyllus WALL. ex LINDL.Ähnlich;C. microphyllus WALL. ex LINDL.;C. microphyllus WALL. ex LINDL.;C. microphyllus
Bogen-Z.;– C. conspicuus C. MARQUAND12* Pfl reich;Bogen-Z.;C. conspicuus C. MARQUAND12* Pfl reich;C. conspicuus C. MARQUAND12* Pfl reich;C. conspicuus C. MARQUAND;C. conspicuus C. MARQUAND;C. conspicuus
Schwedische Z.;– C. × suecicus G. KLOTZ;Schwedische Z.;C. × suecicus G. KLOTZ;C. × suecicus G. KLOTZ;C. × suecicus G. KLOTZ;C. × suecicus G. KLOTZ;C. suecicus
Blaue Sch.;– D. coerulea STAPF;Blaue Sch.;D. coerulea STAPF;D. coerulea STAPF;D. coerulea STAPF;D. coerulea STAPF;D. coerulea
