"taxon_name";"frequency";"ornamental";"crop";"wild";"cultivated";"native";"range";"trend";"threat_2018";"threat_1998"
"Corydalis wilsonii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Corydalis saxicola";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Corydalis cheilanthifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Corydalis cashmeriana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Corydalis flexuosa";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Corydalis solida";"z";"ornamental";NA;"W";"yes";"native";"mh";"=";"*";"*"
"Corydalis cava";"z";"ornamental";NA;"W";"yes";"native";"h";"=";"*";"*"
"Corynephorus canescens";"s";"ornamental";NA;"W";"yes";"native";"h";"<";"*";"*"
"Cosmos bipinnatus";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cosmos sulphureus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cosmos atrosanguineus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cotoneaster horizontalis";"z";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA
"Cotoneaster adpressus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cotoneaster nan-shan";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cotoneaster dammeri";"z";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA
"Cotoneaster radicans";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cotoneaster cochleatus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cotoneaster microphyllus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cotoneaster conspicuus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cotula coronopifolia";"s";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Crambe tataria";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crambe maritima";"z";"ornamental";"crop";NA;"yes";"native";"ss";"<";"3";"3"
"Crambe cordifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Craspedia uniflora";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Craspedia incana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crepis rubra";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crepis incana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crepis aurea";"s";"ornamental";NA;"W";"yes";"native";"s";"=";"*";"*"
"Crepis terglouensis";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*"
"Crepis jacquinii";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*"
"Crepis pygmaea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crepis pyrenaica";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*"
"Crinum bulbispermum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crinum moorei";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocosmia paniculata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocosmia masoniorum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocosmia aurea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocosmia pottsii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus flavus";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus olivieri";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus korolkowii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus angustifolius";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus ancyrensis";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus chrysanthus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus laevigatus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus fleischeri";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus sieberi";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus etruscus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus biflorus";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus imperati";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus vernus";"v";"ornamental";NA;"W";"yes";"established non-native";"mh";">";"*";"*"
"Crocus tommasinianus";"v";"ornamental";NA;"W";"yes";"established non-native";"mh";">";"*";"*"
"Crocus corsicus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus versicolor";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus cancellatus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus kotschyanus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus pulchellus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus banaticus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus sativus";"s";NA;"crop";NA;"yes";NA;NA;NA;NA;NA
"Crocus speciosus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Crocus nudiflorus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cucumis sativus";"v";NA;"crop";NA;"yes";NA;NA;NA;NA;NA
"Cucumis melo";"s";NA;"crop";NA;"yes";NA;NA;NA;NA;NA
"Cuphea ignea";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cuphea micropetala";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cuphea cyanea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cuphea llavea";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cuphea hyssopifolia";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cuphea lanceolata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cuphea procumbens";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cucurbita ficifolia";"s";NA;"crop";NA;"yes";NA;NA;NA;NA;NA
"Cucurbita maxima";"z";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Cucurbita moschata";"s";NA;"crop";NA;"yes";NA;NA;NA;NA;NA
"Cucurbita pepo";"v";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Cyananthus delavayi";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyananthus inflatus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyananthus lobatus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyananthus microphyllus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyananthus sherriffii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen persicum";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen rohlfsianum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen graecum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen cyprium";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen hederifolium";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen africanum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen purpurascens";"z";"ornamental";NA;"W";"yes";"native";"ss";"<";"3";"*"
"Cyclamen cilicium";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen mirabile";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen balearicum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen creticum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen repandum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen coum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen pseudibericum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cyclamen parviflorum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cymbalaria muralis";"z";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Cymbalaria pallida";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cynara cardunculus";"s";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Cynodon dactylon";"z";NA;"crop";"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Cynoglossum amabile";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cynoglottis barrelieri";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cynosurus cristatus";"s";NA;"crop";"W";"yes";"native";"h";"<";"*";"*"
"Cynosurus echinatus";"z";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA
"Cyperus longus";"s";"ornamental";NA;"W";"yes";"native";"es";"<";"1";"1"
"Cyperus esculentus";"s";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Cypripedium candidum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium montanum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium himalaicum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium macranthos";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium parviflorum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium arietinum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium fasciculatum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium guttatum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium yatabeanum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium japonicum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium formosanum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium debile";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium acaule";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium reginae";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium passerinum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium cordigerum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium henryi";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium fasciolatum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Cypripedium calceolus";"z";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"3"
"Daboecia cantabrica";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dactylis glomerata";"v";"ornamental";"crop";"W";"yes";"native";"sh";"=";"*";"*"
"Dahlia coccinea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dahlia merckii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dahlia pinnata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Danae racemosa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daphne alpina";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daphne sericea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daphne mezereum";"z";"ornamental";NA;"W";"yes";"native";"h";"=";"*";"*"
"Daphne jezoensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daphne altaica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daphne laureola";"s";"ornamental";NA;"W";"yes";"native";"es";"=";"R";"3"
"Daphne pontica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daphne jasminea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daphne oleoides";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daphne blagayana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daphne arbuscula";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daphne petraea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daphne striata";"s";"ornamental";NA;"W";"yes";"native";"s";"=";"*";"*"
"Daphne cneorum";"s";"ornamental";NA;"W";"yes";"native";"ss";"<<";"2";"2"
"Darmera peltata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Datisca cannabina";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Datura stramonium";"s";"ornamental";NA;NA;"yes";"established non-native";"nb";NA;"nb";"*"
"Datura metel";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Datura wrightii";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Datura innoxia";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Daucus carota";"v";NA;"crop";"W";"yes";"native";"sh";"=";"*";"*"
"Decodon verticillatus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delairea odorata";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delosperma aberdeenense";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delosperma sutherlandii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delphinium semibarbatum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delphinium cardinale";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delphinium nudicaule";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delphinium staphisagria";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delphinium brunonianum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delphinium elatum";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delphinium cashmerianum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delphinium fissum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Delphinium grandiflorum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Deschampsia cespitosa";NA;"ornamental";NA;"W";"yes";"native";"sh";"=";"*";"*"
"Dianthus knappii";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dianthus barbatus";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dianthus cruentus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dianthus carthusianorum";"z";"ornamental";NA;"W";"yes";"native";"h";"(<)";"V";"V"
"Dianthus chinensis";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dianthus glacialis";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dianthus alpinus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dianthus deltoides";"v";"ornamental";NA;"W";"yes";"native";"h";"<<";"V";"V"
"Dianthus caryophyllus";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dianthus gratianopolitanus";"v";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"3"
"Dianthus sylvestris";"v";"ornamental";NA;"W";"yes";"native";"es";"=";"R";"*"
"Dianthus plumarius";"v";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA
"Dianthus superbus";"v";"ornamental";NA;"W";"yes";"native";"mh";"<<";"3";"3"
"Dianthus monspessulanus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dianthus arenarius";"z";"ornamental";NA;"W";"yes";"native";"es";"<<";"1";"2"
"Dianthus petraeus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Diascia barberae";"v";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dicentra peregrina";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dicentra formosa";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dicentra eximia";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dicentra canadensis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dicentra cucullaria";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dicranostigma lactucoides";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dicranostigma leptopodum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dictamnus albus";"z";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"3"
"Digitalis purpurea";"v";"ornamental";"crop";"W";"yes";"native";"h";">";"*";"*"
"Digitalis lutea";"z";"ornamental";NA;"W";"yes";"native";"s";"=";"*";"*"
"Digitalis grandiflora";"z";"ornamental";"crop";"W";"yes";"native";"mh";"<";"V";"*"
"Digitalis lanata";"z";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Digitalis ferruginea";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Digitaria sanguinalis";"s";"ornamental";"crop";NA;"yes";"native";"mh";"<";"*";"*"
"Dimorphotheca pluvialis";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dimorphotheca sinuata";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dionaea muscipula";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dionysia involucrata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dionysia aretioides";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dionysia tapetodes";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dioscorea nipponica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dioscorea polystachya";"s";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Dioscorea balcanica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dioscorea caucasica";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dipsacus sativus";"s";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA
"Dipsacus fullonum";"z";"ornamental";NA;"W";"yes";"native";"h";"=";"*";"*"
"Disa uniflora";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Doronicum austriacum";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*"
"Doronicum plantagineum";"v";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA
"Doronicum grandiflorum";"s";"ornamental";NA;"W";"yes";"native";"ss";"=";"*";"*"
"Doronicum clusii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Doronicum pardalianches";"s";"ornamental";NA;"W";"yes";"native";"s";"=";"*";"*"
"Doronicum columnae";"z";"ornamental";NA;"W";"yes";"native";"es";"=";"R";"*"
"Draba bruniifolia";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Draba rigida";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Draba dedeana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Draba haynaldii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Draba lasiocarpa";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Draba sibirica";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Draba sauteri";"s";"ornamental";NA;"W";"yes";"native";"es";"=";"R";"*"
"Draba aizoides";"z";"ornamental";NA;"W";"yes";"native";"s";"<";"3";"*"
"Dracocephalum isabellae";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dracocephalum forrestii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dracocephalum botryoides";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dracocephalum austriacum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dracocephalum ruyschiana";"s";"ornamental";NA;NA;"yes";"native";"ex";NA;"0";"0"
"Dracocephalum peregrinum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dracocephalum moldavica";"s";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Dracocephalum rupestre";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Dracocephalum grandiflorum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Drosera filiformis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Drosera binata";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Drosera rotundifolia";"s";"ornamental";NA;"W";"yes";"native";"mh";"<<";"3";"3"
"Drosera linearis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Drosera intermedia";"s";"ornamental";NA;"W";"yes";"native";"mh";"<<";"3";"3"
"Dryas octopetala";"s";"ornamental";NA;"W";"yes";"native";"s";"=";"*";"*"
"Dryas drummondii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Ecballium elaterium";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Eccremocarpus scaber";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Echeveria gibbiflora";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Echeveria derenbergii";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Echeveria elegans";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Echinacea purpurea";"z";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Echinacea angustifolia";"s";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Echinocystis lobata";"z";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"kN"
"Echinops sphaerocephalus";"v";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Echinops ritro";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Echinops humilis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Echinops exaltatus";"s";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Echinops bannaticus";"s";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Echium plantagineum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Edraianthus pumilio";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Edraianthus serpyllifolius";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Edraianthus dalmaticus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Edraianthus graminifolius";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Ehrharta erecta";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Eleocharis palustris";"s";"ornamental";NA;"W";"yes";"native";"mh";"<";"*";"*"
"Eleocharis acicularis";"s";"ornamental";NA;"W";"yes";"native";"mh";"<";"V";"3"
"Elodea canadensis";"v";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Elodea nuttallii";"s";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Elodea callitrichoides";"s";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Elsholtzia stauntonii";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Elymus canadensis";"z";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Emilia coccinea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Empetrum nigrum";"s";"ornamental";NA;"W";"yes";"native";"mh";"<";"V";"3"
"Empetrum rubrum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Ensete ventricosum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Eomecon chionantha";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epilobium angustifolium";"z";"ornamental";NA;"W";"yes";"native";"sh";"=";"*";"*"
"Epilobium latifolium";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epilobium dodonaei";"s";"ornamental";NA;"W";"yes";"native";"s";"<";"*";"*"
"Epilobium fleischeri";"s";"ornamental";NA;"W";"yes";"native";"es";"<<";"1";"1"
"Epilobium canum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epilobium hirsutum";"z";"ornamental";NA;"W";"yes";"native";"sh";"=";"*";"*"
"Epilobium purpuratum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epilobium × purpureum";"s";"ornamental";"crop";NA;"yes";NA;NA;NA;NA;NA
"Epilobium crassum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epilobium pedunculare";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epilobium komarovianum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epimedium perralderianum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epimedium pinnatum subsp. colchicum";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epimedium grandiflorum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epimedium pubigerum";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epimedium alpinum";"z";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Epipactis veratrifolia";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epipactis gigantea";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Epipactis palustris";"s";"ornamental";NA;"W";"yes";"native";"mh";"<<";"3";"3"
"Epipactis atrorubens";"s";"ornamental";NA;"W";"yes";"native";"mh";"<";"V";"V"
"Epipactis helleborine";"s";"ornamental";NA;"W";"yes";"native";"h";"=";"*";"*"
"Epipactis purpurata";"s";"ornamental";NA;"W";"yes";"native";"mh";"<";"V";"V"
"Eragrostis tef";"s";"ornamental";NA;"W";"yes";NA;NA;NA;NA;NA
"Eragrostis curvula";"s";"ornamental";NA;"W";"yes";"transient";NA;NA;NA;"*"
"Eragrostis trichodes";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Eragrostis mexicana";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Eranthis hyemalis";"z";"ornamental";NA;"W";"yes";"established non-native";"nb";NA;"nb";"*"
"Eremurus himalaicus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Eremurus stenophyllus";"z";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Eremurus comosus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Eremurus spectabilis";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Eremurus soogdianus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Eremurus turkestanicus";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
"Eremurus olgae";"s";"ornamental";NA;NA;"yes";NA;NA;NA;NA;NA
