genus_vernacular;species_vernacular;genus_scientific;species_scientific;frequency;primary_use;secondary_use;wild
Bisameibisch;Maniok-B.;Abelmoschus;A. manihot;Z s;Z;NA;NA
Bisameibisch;Moschus-B.;Abelmoschus;A. moschatus;Z s;Z;NA;NA
Bisameibisch;Okra-B., Lady’s Finger;Abelmoschus;A. esculentus;Z s;Z;NA;NA
Abronie, Sandverbene;Doldige A., Rosafarbene Sandverbene;Abronia;A. umbellata;Z s;Z;NA;NA
Samtpappel;Chinesische S.;Abutilon;A. theophrasti;Z s;Z;NA;W
Samtpappel;Rio-Grande-S.;Abutilon;A. megapotamicum;Z s;Z;NA;NA
Samtpappel;Hybrid-S.;Abutilon;A. hybridum;Z z;Z;NA;NA
Samtpappel;Bunte S.;Abutilon;A. pictum;Z s;Z;NA;NA
Samtpappel;Weinblättrige S.;Abutilon;A. vitifolium;Z s;Z;NA;NA
Stachelnüsschen;Unbewehrtes St.;Acaena;A. inermis f.;Z s;Z;NA;NA
Stachelnüsschen;Seidenhaariges St.;Acaena;A. sericea;Z s;Z;NA;NA
Stachelnüsschen;Tausendblättriges St.;Acaena;A. myriophylla;Z s;Z;NA;NA
Stachelnüsschen;Südamerikanisches St.;Acaena;A. ovalifolia;Z s;Z;NA;NA
Stachelnüsschen;Braunblättriges St.;Acaena;A. microphylla f.;Z z;Z;NA;NA
Stachelnüsschen;Blaugrünes St.;Acaena;A. buchananii f.;Z s;Z;NA;NA
Stachelnüsschen;Piripiri-St.;Acaena;A. novae-zelandiae;Z s;Z;NA;NA
Stachelnüsschen;Gänsefingerkraut-St.;Acaena;A. anserinifolia;Z s;Z;NA;NA
Stachelnüsschen;Graublaues St.;Acaena;A. caesiiglauca;Z s;Z;NA;NA
Igelpolster;Anmutiges I.;Acantholimon;A. venustum;Z s;Z;NA;NA
Igelpolster;Kurzschäftiges I.;Acantholimon;A. ulicinum;Z s;Z;NA;NA
Igelpolster;Gemeines I.;Acantholimon;A. glumaceum;Z z;Z;NA;NA
Akanthus;Dioskurides-A.;Acanthus;A. dioscoridis;Z s;Z;NA;NA
Akanthus;Ungarischer A.;Acanthus;A. hungaricus;Z z;Z;NA;NA
Akanthus;Behaarter A.;Acanthus;A. hirsutus;Z s;Z;NA;NA
Akanthus;Dorniger A.;Acanthus;A. spinosus;Z s;Z;NA;NA
Akanthus;Weicher A.;Acanthus;A. mollis;Z s;Z;NA;NA
Schafgarbe, Garbe;Ageratumblättrige Sch.;Achillea;A. ageratifolia;Z z;Z;NA;NA
Schafgarbe, Garbe;Sumpf-Sch., Bertramgarbe;Achillea;A. ptarmica;Z v;Z;NA;W
Schafgarbe, Garbe;Zungen-Sch.;Achillea;A. lingulata;Z s;Z;NA;W
Schafgarbe, Garbe;Großblättrige Sch.;Achillea;A. macrophylla;Z s;Z;NA;NA
Schafgarbe, Garbe;Schwarzrandige Sch.;Achillea;A. atrata;Z s;Z;NA;W
Schafgarbe, Garbe;Moschus-Sch., Ivakraut;Achillea;A. erba-rotta;Z s;Z;NA;NA
Schafgarbe, Garbe;Bittere Sch., Steinraute, Weißer Speik;Achillea;A. clavenae;Z s;Z;NA;W
Schafgarbe, Garbe;Dolden-Sch.;Achillea;A. umbellata;Z z;Z;NA;NA
Schafgarbe, Garbe;Edel-Sch.;Achillea;A. nobilis;Z s;Z;NA;W
Schafgarbe, Garbe;Gewöhnliche Sch.;Achillea;A. millefolium;Z v;Z;N;W
Schafgarbe, Garbe;Süße Sch., Muskatkraut;Achillea;A. ageratum;Z s;N;Z;NA
Schafgarbe, Garbe;Filzige Sch., Gelbe Sch.;Achillea;A. tomentosa;Z s;Z;NA;NA
Schafgarbe, Garbe;Goldhaar-Sch.;Achillea;A. chrysocoma;Z s;Z;NA;NA
Schafgarbe, Garbe;Gold-Garbe;Achillea;A. filipendulina;Z v;Z;NA;NA
Schafgarbe, Garbe;Griechische Sch., Griechische Edel-G.;Achillea;A. aegyptiaca;Z s;Z;NA;NA
Schafgarbe, Garbe;Seidenhaarige Sch.;Achillea;A. holosericea;Z s;Z;NA;NA
Schafgarbe, Garbe;Goldquirl-Sch.;Achillea;A. clypeolata;Z v;Z;NA;NA
Vanilleblatt;Dreiblättriges V.;Achlys;A. triphylla;Z s;Z;NA;NA
Raugras;Silber-R.;Achnatherum;A. calamagrostis;Z s;Z;NA;W
Spreublume;Spreublume;Achyranthes;A. aspera;Z s;Z;NA;NA
Husarenknopf, Parakresse;Husarenknopf, Parakresse;Acmella;A. oleracea;Z s;Z;N;NA
Eisenhut, Sturmhut;Weißvioletter E.;Aconitum;A. alboviolaceum var. alboviolace;Z s;Z;NA;NA
Eisenhut, Sturmhut;Hemsley-E.;Aconitum;A. hemsleyanum;Z s;Z;NA;NA
Eisenhut, Sturmhut;Windender E.;Aconitum;A. volubile;Z s;Z;NA;NA
Eisenhut, Sturmhut;Henry-E.;Aconitum;A. henryi var. henryi;Z s;Z;NA;NA
Eisenhut, Sturmhut;Feinblatt-E., Blassgelber E., Giftheil;Aconitum;A. anthora;Z s;Z;NA;NA
Eisenhut, Sturmhut;Gelber E., Wolfs-E.;Aconitum;A. lycoctonum;Z z;Z;NA;W
Eisenhut, Sturmhut;Moldawischer E.;Aconitum;A. moldavicum;Z z;Z;NA;NA
Eisenhut, Sturmhut;Chinesischer E.;Aconitum;A. carmichaelii;Z z;Z;NA;NA
Eisenhut, Sturmhut;Bunter E.;Aconitum;A. variegatum;Z s;Z;NA;W
Eisenhut, Sturmhut;Blauer E.;Aconitum;A. napellus;Z z;Z;NA;W
Eisenhut, Sturmhut;Rispen-E.;Aconitum;A. degenii;Z z;Z;NA;W
Eisenhut, Sturmhut;Raustiel-E., Behaarter E.;Aconitum;A. pilipes;Z s;Z;NA;W
Eisenhut, Sturmhut;Tauern-E.;Aconitum;A. tauricum;Z s;Z;NA;W
Eisenhut, Sturmhut;Sudeten-E.;Aconitum;A. plicatum;Z s;Z;NA;W
Bergknöterich;Weicher B.;Aconogonon;A. molle;Z s;Z;NA;NA
Bergknöterich;Himalaja-B.;Aconogonon;A. polystachyum;Z s;Z;NA;W
Bergknöterich;Glockenblütiger B.;Aconogonon;A. campanulatum;Z s;Z;NA;NA
Kalmus;Gewöhnlicher K.;Acorus;A. calamus;Z z;Z;NA;W
Kalmus;Zwerg-K., Gras-K.;Acorus;A. gramineus;Z s;Z;NA;NA
Kalmus;Gewöhnlicher K.;Acorus;A. calamus;Z z;Z;NA;W
Christophskraut;Schwarzfrüchtiges Ch.;Actaea;A. spicata;Z s;Z;NA;W
Christophskraut;Asiatisches Ch.;Actaea;A. asiatica;Z s;Z;NA;NA
Christophskraut;Rotes Ch.;Actaea;A. rubra;Z s;Z;NA;NA
Christophskraut;Dickstieliges Ch.;Actaea;A. pachypoda;Z s;Z;NA;NA
Schellenblume;Dreiblättrige Sch., Quirlige Sch.;Adenophora;A. triphylla;Z s;Z;NA;NA
Schellenblume;Lilienblättrige Sch.;Adenophora;A. liliifolia;NA;Z;NA;W
Schellenblume;Bulley-Sch.;Adenophora;A. bulleyana;Z s;Z;NA;NA
Schellenblume;Potanin-Sch.;Adenophora;A. potaninii;Z s;Z;NA;NA
Schellenblume;Dreispitzige Sch.;Adenophora;A. tricuspidata;Z s;Z;NA;NA
Schellenblume;Tashiro-Sch.;Adenophora;A. tashiroi;Z s;Z;NA;NA
Schellenblume;Nikko-Sch.;Adenophora;A. nikoensis;Z s;Z;NA;NA
Alpendost;Kahler A.;Adenostyles;A. glabra;Z s;Z;NA;W
Doppelkappe;Doppelkappe;Adlumia;A. fungosa;Z s;Z;NA;NA
Adonisröschen;Herbst-A.;Adonis;A. annua;Z z;Z;NA;W
Adonisröschen;Frühlings-A.;Adonis;A. vernalis;Z z;Z;NA;W
Adonisröschen;Amur-A.;Adonis;A. amurensis;Z s;Z;NA;NA
Giersch;Giersch, Geißfuß;Aegopodium;A. podagraria;Z s;Z;NA;W
Steintäschel, Steinkresse;Arabisches St.;Aethionema;Ae. arabicum;Z s;Z;NA;NA
Steintäschel, Steinkresse;Gegenblättriges St.;Aethionema;Ae. oppositifolium;Z s;Z;NA;NA
Steintäschel, Steinkresse;Zierliches St.;Aethionema;Ae. coridifolium;Z z;Z;NA;NA
Steintäschel, Steinkresse;Großblütiges St.;Aethionema;Ae. grandiflorum;Z z;Z;NA;NA
Blaulilie, Liebesblume, Schmucklilie;Röhrenblütige B.;Agapanthus;A. inapertus;Z s;Z;NA;NA
Blaulilie, Liebesblume, Schmucklilie;Glockige B.;Agapanthus;A. campanulatus;Z s;Z;NA;NA
Blaulilie, Liebesblume, Schmucklilie;Afrikanische B.;Agapanthus;A. africanus;Z s;Z;NA;NA
Blaulilie, Liebesblume, Schmucklilie;Frühe B., Immergrüne B.;Agapanthus;A. praecox;Z v;Z;NA;NA
Riesenysop, Duftnessel;Mexikanischer R.;Agastache;A. mexicana;Z s;Z;NA;NA
Riesenysop, Duftnessel;Felsen-R.;Agastache;A. rupestris;Z s;Z;NA;NA
Riesenysop, Duftnessel;Brennnesselblättriger R.;Agastache;A. urticifolia;Z s;Z;NA;NA
Riesenysop, Duftnessel;Gelblichblühender R.;Agastache;A. nepetoides;Z s;Z;NA;NA
Riesenysop, Duftnessel;Anis-R., Duftnessel;Agastache;A. foeniculum;Z s;Z;NA;NA
Riesenysop, Duftnessel;Ostasiatischer R.;Agastache;A. rugosa;Z z;Z;NA;NA
Agave;Amerikanische A., Hundertjährige A.;Agave;A. americana;Z v;Z;NA;NA
Agave;Mescal-A., Parry-A.;Agave;A. parryi;Z s;Z;NA;NA
Agave;Toumey-A.;Agave;A. toumeyana;Z s;Z;NA;NA
Agave;Lechuguilla-A., Ixtlefaser;Agave;A. lechuguilla;Z s;Z;NA;NA
Agave;Utah-A;Agave;A. utahensis;Z s;Z;NA;NA
Leberbalsam;Trugdoldiger L.;Ageratum;A. corymbosum;Z z;Z;NA;NA
Leberbalsam;Gewöhnlicher L.;Ageratum;A. houstonianum;Z v;Z;NA;NA
Leberbalsam;Mexikanischer L.;Ageratum;A. conyzoides;Z s;Z;NA;NA
Odermennig;Kleiner O.;Agrimonia;A. eupatoria;Z s;Z;NA;W
Odermennig;Großer O.;Agrimonia;A. procera;Z s;Z;NA;W
Kammquecke;Gewöhnliche K.;Agropyron;A. cristatum;N s;N;NA;NA
Rade;Korn-R.;Agrostemma;A. githago;Z z;Z;NA;W
Straußgras;Felsen-S.;Agrostis;A. rupestris;Z s;Z;NA;W
Straußgras;Schleier-S.;Agrostis;A. nebulosa;NA;Z;NA;NA
Straußgras;Kastilisches S.;Agrostis;A. castellana;NA;Z;NA;W
Straußgras;Rot-S.;Agrostis;A. capillaris;Z s;Z;N;NA
Straußgras;Riesen-S.;Agrostis;A. gigantea;NA;N;NA;W
Straußgras;Flecht-S.;Agrostis;A. stolonifera;NA;N;NA;W
Straußgras;Amerikanisches S.;Agrostis;A. perennans;Z s;Z;NA;NA
Straußgras;Hunds-S.;Agrostis;A. canina;NA;Z;NA;W
Haferschmiele, Nelkenhafer;Haarfeine H., Zierlicher Nelkenhafer;Aira;A. elegantissima;Z s;Z;NA;NA
Gold-und-Silber-Chrysantheme;Gold- u. Silber-Ch.;Ajania;A. pacifica;Z z;Z;NA;NA
Günsel;Kriech-G.;Ajuga;A. reptans;Z v;Z;NA;W
Günsel;Heide-G.;Ajuga;A. genevensis;Z s;Z;NA;W
Günsel;Pyramiden-G.;Ajuga;A. pyramidalis;Z s;Z;NA;W
Stockrose, Stockmalve;Garten-S.;Alcea;A. rosea;Z v;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Felsen-F.;Alchemilla;A. saxatilis;Z s;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Langzähniger F.;Alchemilla;A. sericea;Z s;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Verbundener F.;Alchemilla;A. conjuncta;Z s;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Glänzender F.;Alchemilla;A. nitida;Z s;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Hoppe-F.;Alchemilla;A. hoppeana;Z s;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Kalkalpen-F.;Alchemilla;A. alpigena;Z s;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Färöer-F.;Alchemilla;A. faeroensis;Z s;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Schimmernder F.;Alchemilla;A. splendens;Z s;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Seidiger F.;Alchemilla;A. sericata;Z s;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Weichhaariger F., Bastard-F.;Alchemilla;A. glaucescens;Z s;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Kaukasus-F.;Alchemilla;A. caucasica;Z s;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Gewöhnlicher F., Spitzlappiger F.;Alchemilla;A. vulgaris;Z s;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Kahlblättriger F.;Alchemilla;A. epipsila;Z s;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Weicher F.;Alchemilla;A. mollis;Z v;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Ansehnlicher F.;Alchemilla;A. speciosa;Z s;Z;NA;W
Froschlöffel;Grasblättriger F.;Alisma;A. gramineum;Z s;Z;NA;W
Froschlöffel;Lanzett-F.;Alisma;A. lanceolatum;Z s;Z;NA;W
Froschlöffel;Gewöhnlicher F.;Alisma;A. plantago-aquatica;Z v;Z;NA;W
Froschlöffel;Kleinblütiger F.;Alisma;A. subcordatum;Z s;Z;NA;NA
Alkanna, Schminkwurz;Orientalische A.;Alkanna;A. orientalis;Z s;Z;NA;NA
Alkanna, Schminkwurz;Griechische A.;Alkanna;A. graeca;Z s;Z;NA;NA
Alkanna, Schminkwurz;Schminkwurz-A., Schminkwurz;Alkanna;A. tuberculata;Z s;Z;NA;NA
Alkanna, Schminkwurz;Kissenbildende A.;Alkanna;A. aucherana;Z s;Z;NA;NA
Alkanna, Schminkwurz;Weißgraue A.;Alkanna;A. incana;Z s;Z;NA;NA
Lauch, Zwiebel –;Gelber L.;Allium;A. flavum;Z z;Z;NA;NA
Lauch, Zwiebel;Bär(en)-L.;Allium;A. ursinum;Z s;N;Z;NA
Lauch, Zwiebel;Allermannsharnisch;Allium;A. victorialis;Z s;Z;NA;W
Lauch, Zwiebel;Kugelköpfiger L., Purpur-L.;Allium;A. sphaerocephalon;Z v;Z;NA;W
Lauch, Zwiebel;Knoblauch;Allium;A. sativum;N v;N;NA;NA
Lauch, Zwiebel;Sommer-L.;Allium;A. ampeloprasum;N v;N;NA;NA
Lauch, Zwiebel;Gekielter L.;Allium;A. carinatum;N s;Z;NA;W
Lauch, Zwiebel;Sikkim-L.;Allium;A. sikkimense;Z z;Z;NA;NA
Lauch, Zwiebel;Bees-L.;Allium;A. beesianum;Z s;Z;NA;NA
Lauch, Zwiebel;Blauer L.;Allium;A. caeruleum;Z v;Z;NA;NA
Lauch, Zwiebel;Graublauer L.;Allium;A. caesium;Z z;Z;NA;NA
Lauch, Zwiebel;Schnittlauch;Allium;A. schoenoprasum;N v;Z;N;W
Lauch, Zwiebel;Etagenzwiebel, Luftzwiebel, Catawissazwiebel;Allium;A. proliferum;N z;N;NA;NA
Lauch, Zwiebel;Winterzwiebel, Heckenzwiebel;Allium;A. fistulosum;N z;N;NA;NA
Lauch, Zwiebel;Speise-, Küchenzwiebel;Allium;A. cepa;N v;N;NA;NA
Lauch, Zwiebel;Gold-L.;Allium;A. moly;Z v;Z;NA;NA
Lauch, Zwiebel;Schiefer L.;Allium;A. obliquum;Z s;Z;NA;NA
Lauch, Zwiebel;Rosen-L.;Allium;A. oreophilum;Z v;Z;NA;NA
Lauch, Zwiebel;Rosen-L.;Allium;A. rosenorum;Z z;Z;NA;NA
Lauch, Zwiebel;Farrer-L.;Allium;A. cyathophorum var. Farreri;Z z;Z;NA;NA
Lauch, Zwiebel;Überhängender L.;Allium;A. cernuum;Z z;Z;NA;NA
Lauch, Zwiebel;Wunder-L.;Allium;A. paradoxum;Z z;Z;NA;W
Lauch, Zwiebel;Schubert-L.;Allium;A. schubertii;Z s;Z;NA;NA
Lauch, Zwiebel;Sternkugel-L.;Allium;A. christophii;Z v;Z;NA;NA
Lauch, Zwiebel;Schnittknoblauch, Chinesischer Schnittlauch;Allium;A. ramosum;N s;N;NA;NA
Lauch, Zwiebel;Neapolitanischer L.;Allium;A. neapolitanum;Z s;Z;NA;NA
Lauch, Zwiebel;Libanon-L.;Allium;A. zebdanense;Z z;Z;NA;NA
Lauch, Zwiebel;Einblättriger L.;Allium;A. unifolium;Z s;Z;NA;NA
Lauch, Zwiebel;Narzissenblütiger L.;Allium;A. narcissiflorum;Z z;Z;NA;NA
Lauch, Zwiebel;Maire-L.;Allium;A. mairei;Z s;Z;NA;NA
Lauch, Zwiebel;Nickender L.;Allium;A. nutans;Z z;Z;NA;NA
Lauch, Zwiebel;Ausdauernder L.;Allium;A. senescens;Z s;Z;NA;NA
Lauch, Zwiebel;Blauzungen-L.;Allium;A. karataviense;Z v;Z;NA;W
Lauch, Zwiebel;Riesen-L.;Allium;A. giganteum;Z v;Z;NA;NA
Lauch, Zwiebel;Hoher L.;Allium;A. macleanii;Z v;Z;NA;NA
Lauch, Zwiebel;Stiel-L.;Allium;A. stipitatum;Z v;Z;NA;NA
Lauch, Zwiebel;Rosenbach-L.;Allium;A. rosenbachianum;?;Z;NA;NA
Lauch, Zwiebel;Yasd-L.;Allium;A. jesdianum;Z z;Z;NA;NA
Lauch, Zwiebel;Holland-L.;Allium;A. hollandicum;Z v;Z;NA;NA
Maskenblume, Alonsoa;Garten-M.;Alonsoa;A. meridionalis;Z s;Z;NA;NA
Fuchsschwanzgras;Wiesen-F.;Alopecurus;A. pratensis;N v;Z;N;W
Zitronenstrauch;Zitronenstrauch;Aloysia;A. triphylla;Z s;Z;NA;NA
Inkalilie;Papageien-I.;Alstroemeria;A. psittacina;Z s;Z;NA;NA
Inkalilie;Verschiedenfarbige I.;Alstroemeria;A. versicolor;Z s;Z;NA;NA
Inkalilie;Küsten-I;Alstroemeria;A. pelegrina;Z s;Z;NA;NA
Inkalilie;Sims-I.;Alstroemeria;A. ligtu subsp. simsii;Z z;Z;NA;NA
Inkalilie;Rosa I.;Alstroemeria;A. ligtu subsp. incarnata;Z v;Z;NA;NA
Inkalilie;Gewöhnliche I.;Alstroemeria;A. ligtu subsp. ligtu;Z v;Z;NA;NA
Inkalilie;Goldne I.;Alstroemeria;A. aurea;Z z;Z;NA;NA
Papageienblatt;Papageienblatt;Alternanthera;A. ficoidea;Z z;Z;NA;NA
Eibisch;Echter E.;Althaea;A. officinalis;Z s;Z;N;NA
Eibisch;Echter E.;Althaea;A. officinalis;N v;Z;N;NA
Eibisch;Hanfblättriger E.;Althaea;A. cannabina;Z s;Z;NA;NA
Steinkraut;Dorn-St.;Alyssum;A. spinosum;Z z;Z;NA;NA
Steinkraut;Felsen-St.;Alyssum;A. saxatile;Z v;Z;NA;W
Steinkraut;Mauer-St.;Alyssum;A. murale;Z z;Z;NA;W
Steinkraut;Berg-St.;Alyssum;A. montanum;Z z;Z;NA;W
Amarant, Fuchsschwanz;Garten-F.;Amaranthus;A. caudatus subsp. caudatus;Z z;Z;NA;NA
Amarant, Fuchsschwanz;Dreifarben-A., Papageienkraut;Amaranthus;A. tricolor convar. tricolor;Z z;Z;NA;NA
Amarant, Fuchsschwanz;Trauer-F.;Amaranthus;A. hypochondriacus;Z s;Z;NA;NA
Amarant, Fuchsschwanz;Rispiger A.;Amaranthus;A. cruentus;Z z;Z;NA;NA
Bisamblume;Duftende B., Moschusflockenblume;Amberboa;A. moschata;Z v;Z;NA;NA
Einblattorchis;Einblattorchis;Amerorchis;A. rotundifolia;Z s;Z;NA;NA
Papierknöpfchen;Papierknöpfchen, Sandimmortelle;Ammobium;A. alatum;Z z;Z;NA;NA
Strandhafer;Strandhafer;Ammophila;A. arenaria;N v;N;NA;W
Blaustern;Amerikanischer B.;Amsonia;A. tabernaemontana;Z s;Z;NA;NA
Blaustern;Orientalischer B.;Amsonia;A. orientalis;Z s;Z;NA;NA
Bertram, Ringblume, Kreisblume, Zwergmargerit;Gelber B.;Anacyclus;A. radiatus;Z s;Z;NA;NA
Bertram, Ringblume, Kreisblume, Zwergmargerite;Mehrjähriger B.;Anacyclus;A. pyrethrum;Z z;Z;N;NA
Gauchheil;Mittelmeer-G.;Anagallis;A. monellii;Z s;Z;NA;NA
Gauchheil;Zarter G.;Anagallis;A. tenella;Z s;Z;NA;W
Gauchheil;Wechselblättriger G.;Anagallis;A. alternifolia var. repens;Z s;Z;NA;NA
Perlpfötchen, Perlkörbchen, Perlkraut;Nepal-P.;Anaphalis;A. nepalensis;Z s;Z;NA;NA
Perlpfötchen, Perlkörbchen, Perlkraut;Chinesisches P;Anaphalis;A. sinica;Z s;Z;NA;NA
Perlpfötchen, Perlkörbchen, Perlkraut;Nordjapanisches P.;Anaphalis;A. alpicola;Z s;Z;NA;NA
Perlpfötchen, Perlkörbchen, Perlkraut;Royle-P.;Anaphalis;A. royleana;Z s;Z;NA;NA
Perlpfötchen, Perlkörbchen, Perlkraut;Großblütiges P., Silberimmortelle;Anaphalis;A. margaritacea;Z z;Z;NA;W
Perlpfötchen, Perlkörbchen, Perlkraut;Dreinerviges P., Himalaja-Immortelle;Anaphalis;A. triplinervis;Z z;Z;NA;NA
Ochsenzunge;Italienische O.;Anchusa;A. azurea;Z z;Z;NA;W
Ochsenzunge;Kap-O., Kapvergissmeinnicht;Anchusa;A. capensis;Z s;Z;NA;NA
Gränke, Rosmarinheide;Polei-G., Rosmarinheide;Andromeda;A. polifolia;Z s;Z;NA;W
Gränke, Rosmarinheide;Behaarte G., Behaarte Rosmarinheide;Andromeda;A. glaucophylla;Z s;Z;NA;NA
Mannschild;Chinesischer M.;Androsace;A. sarmentosa;Z z;Z;NA;NA
Mannsschild;Riesen-M.;Androsace;A. maxima;Z s;Z;NA;W
Mannsschild;Fädiger M.;Androsace;A. filiformis;Z s;Z;NA;NA
Mannsschild;Verlängerter M.;Androsace;A. elongata;Z s;Z;NA;W
Mannsschild;Nördlicher M.;Androsace;A. septentrionalis;Z s;Z;NA;W
Mannsschild;Rundblättriger M.;Androsace;A. rotundifolia;Z s;Z;NA;NA
Mannsschild;Frauenmantel-M.;Androsace;A. alchemilloides;Z s;Z;NA;NA
Mannsschild;Sikkim-M.;Androsace;A. strigillosa;Z s;Z;NA;NA
Mannsschild;Milchweißer M.;Androsace;A. lactea;Z z;Z;NA;W
Mannsschild;Zottiger M.;Androsace;A. villosa;Z s;Z;NA;NA
Mannsschild;Bewimperter M.;Androsace;A. chamaejasme;Z s;Z;NA;W
Mannsschild;Fleischroter M.;Androsace;A. carnea;Z s;Z;NA;NA
Mannsschild;Stumpfblättriger M.;Androsace;A. obtusifolia;Z s;Z;NA;W
Mannsschild;Kugeltragender M.;Androsace;A. globifera;Z s;Z;NA;NA
Mannsschild;Pyrenäen-M.;Androsace;A. pyrenaica;Z s;Z;NA;NA
Mannsschild;Milchweißer M.;Androsace;A. lactea;Z s;Z;NA;W
Mannsschild;Vandell-M.;Androsace;A. vandellii;Z s;Z;NA;NA
Mannsschild;Zylindrischer M.;Androsace;A. cylindrica;Z s;Z;NA;NA
Mannsschild;Schweizer M.;Androsace;A. helvetica;Z s;Z;NA;W
Mannsschild;Apenninischer M.;Androsace;A. mathildae;Z s;Z;NA;NA
Mannsschild;Weichhaariger M.;Androsace;A. pubescens;Z s;Z;NA;NA
Mannsschild;Alpen-M.;Androsace;A. alpina;Z s;Z;NA;NA
Andryala;Agardh-A;Andryala;A. agardhii;Z s;Z;NA;NA
Windröschen, Anemone;Weinblättrige A.;Anemone;A. vitifolia;Z s;Z;NA;NA
Windröschen, Anemone;Filzblättrige A.;Anemone;A. tomentosa;Z z;Z;NA;NA
Windröschen, Anemone;Herbst-A.;Anemone;A. hupehensis var. hupensis;Z z;Z;NA;W
Windröschen, Anemone;Carolina-A.;Anemone;A. caroliniana;Z s;Z;NA;NA
Windröschen, Anemone;Westmediterrane A.;Anemone;A. palmata;Z s;Z;NA;NA
Windröschen, Anemone;Garten-A., Kronen-A.;Anemone;A. coronaria;Z s;Z;NA;NA
Windröschen, Anemone;Stern-A.;Anemone;A. hortensis;Z s;Z;NA;NA
Windröschen, Anemone;Monte Baldo-W., Tiroler W.;Anemone;A. baldensis;Z s;Z;NA;NA
Windröschen, Anemone;Spanische A.;Anemone;A. pavoniana;Z s;Z;NA;NA
Windröschen, Anemone;Felsen-W.;Anemone;A. rupicola;Z s;Z;NA;NA
Windröschen, Anemone;Großes W.;Anemone;A. sylvestris;Z z;Z;NA;NA
Windröschen, Anemone;Pazifisches W.;Anemone;A. multifida;Z z;Z;NA;NA
Windröschen, Anemone;Virginische A.;Anemone;A. virginiana;Z s;Z;NA;NA
Windröschen, Anemone;Langkopf-A.;Anemone;A. cylindrica;Z z;Z;NA;NA
Windröschen, Anemone;Richardson-A.;Anemone;A. richardsonii;Z s;Z;NA;NA
Windröschen, Anemone;Bach-W.;Anemone;A. rivularis;Z s;Z;NA;NA
Windröschen, Anemone;Westhimalaische A.;Anemone;A. tetrasepala;Z s;Z;NA;NA
Windröschen, Anemone;Narzissen-W., Berghähnlein;Anemone;A. narcissiflora;Z s;Z;NA;W
Windröschen, Anemone;Kanadisches W.;Anemone;A. canadensis;Z z;Z;NA;NA
Windröschen, Anemone;Fiederblättrige A.;Anemone;A. glaucifolia;Z s;Z;NA;NA
Windröschen, Anemone;Löffelblättrige A.;Anemone;A. trullifolia f.;Z s;Z;NA;NA
Windröschen, Anemone;Stumpflappige A.;Anemone;A. obtusiloba;Z s;Z;NA;NA
Windröschen, Anemone;Apenninen-W.;Anemone;A. apennina;Z z;Z;NA;NA
Windröschen, Anemone;Balkan-W.;Anemone;A. blanda;Z z;Z;NA;NA
Windröschen, Anemone;Baikal-W.;Anemone;A. baicalensis;Z s;Z;NA;NA
Windröschen, Anemone;Rückwärtsgebogene A.;Anemone;A. reflexa;Z s;Z;NA;NA
Windröschen, Anemone;Gelbes W.;Anemone;A. ranunculoides;Z z;Z;NA;NA
Windröschen, Anemone;Dreiblatt-W.;Anemone;A. trifolia;Z s;Z;NA;NA
Windröschen, Anemone;Altai-W.;Anemone;A. altaica;Z s;Z;NA;NA
Windröschen, Anemone;Busch-W.;Anemone;A. nemorosa;Z z;Z;NA;W
Rautenanemone;Rautenanemone;Anemonella;A. thalictroides;Z s;Z;NA;NA
Scheinanemone;Großblättrige Sch.;Anemonopsis;A. macrophylla;Z s;Z;NA;NA
Scheinanemone;Großblättrige Sch.;Anemonopsis;A. macrophylla;Z s;Z;NA;NA
Eidechsenschwanz;Kalifornischer E.;Anemopsis;A. californica;Z s;Z;NA;NA
Dill;Dill;Anethum;A. graveolens;N v;N;NA;NA
Engelwurz;Echte E., Erz-E., Angelika;Angelica;A. archangelica;N s;N;NA;W
Angelonie;Horntragende A.;Angelonia;A. cornigera;Z s;Z;NA;NA
Scheinmalve;Kapländische S.;Anisodontea;A. capensis;Z z;Z;NA;NA
Scheinmalve;Raue S.;Anisodontea;A. scabrosa;Z z;Z;NA;NA
Scheinmalve;Hybrid-S.;Anisodontea;A. hybridum;Z z;Z;NA;NA
Anode, Spießmalve;Anode;Anoda;A. cristata;Z s;Z;NA;NA
Madeirawein, Basellkartoffel;Madeirawein;Anredera;A. cordifolia;N s;N;Z;NA
Katzenpfötchen;Mittleres K.;Antennaria;A. alpina;Z s;Z;NA;NA
Katzenpfötchen;Karpaten-K.;Antennaria;A. carpatica;Z s;Z;NA;NA
