genus_vernacular;species_vernacular;genus_scientific;species_scientific;primary_use;secondary_use;wild
Kohl;Senf-K., Schwarzer Senf;Brassica;B. nigra;N;NA;W
Kohl;"Ruten-K., Sarepta-Senf, Indischer Senf; Brauner Senf";Brassica;B. juncea;N;NA;W
Kohl;Gemüse-K.;Brassica;B. oleracea;N;NA;W
Kohl;"Raps; Kohlrübe";Brassica;B. napus;N;NA;W
Kohl;"Rübsen, Stoppelrübe; China-K.";Brassica;B. rapa;N;NA;W
Senf;Weißer S., Gelb-S.;Sinapis;S. alba;N;NA;W
Rauke, Senfrauke;Salat-R., Rucola, Öl-R.;Eruca;E. sativa;N;NA;W
Meerkohl;Tataren-M.;Crambe;C. tatarica;Z;NA;NA
Meerkohl;Äthiopischer M.;Crambe;C. abyssinica;N;NA;NA
Meerkohl;Echter M.;Crambe;C. maritima;N;Z;NA
Meerkohl;Herzblättriger M.;Crambe;C. cordifolia;Z;NA;NA
Rettich;Kultur-R.;Raphanus;R. sativus;N;NA;W
Rettich;Gemüse-R.;Raphanus;R. sativus convar. sativus;N;NA;NA
Rettich;Schlangen-R.;Raphanus;R. sativus convar. caudatus;N;NA;NA
Rettich;"Öl-R.; Futter-R.";Raphanus;R. sativus convar. oleifer;N;NA;NA
Resede, Wau;Färber-Resede, Wau;Reseda;R. luteola;N;NA;W
Resede, Wau;Weiße Resede;Reseda;R. alba;Z;NA;NA
Resede, Wau;Rapunzel-Wau;Reseda;R. phyteuma;N;NA;NA
Resede, Wau;Garten-Resede;Reseda;R. odorata;Z;NA;NA
Palavie;Fiederschnittige P.;Palaua;P. dissecta;Z;NA;NA
Sommermalve;Spanische S.;Malope;M. trifida;Z;NA;NA
Kitaibelie;Weinblättrige K.;Kitaibela;K. vitifolia;Z;NA;NA
Samtpappel;Chinesische S.;Abutilon;A. theophrasti;Z;NA;W
Skimmie;Chinesische S.;Skimmia;S. reevesiana;Z;NA;NA
Samtpappel;Rio-Grande-S.;Abutilon;A. megapotamicum;Z;NA;NA
Samtpappel;Hybrid-S.;Abutilon;A. hybridum;Z;NA;NA
Samtpappel;Bunte S.;Abutilon;A. pictum;Z;NA;NA
Samtpappel;Valdivia-S.;Abutilon;A. ochsenii;Z;NA;NA
Samtpappel;Weinblättrige S.;Abutilon;A. vitifolium;Z;NA;NA
Kugelmalve;Dreizählige K.;Sphaeralcea;S. coccinea;Z;NA;NA
Kugelmalve;Munro-K.;Sphaeralcea;S. munroana;Z;NA;NA
Scheinmalve;Kapländische S.;Anisodontea;A. capensis;Z;NA;NA
Scheinmalve;Raue S.;Anisodontea;A. scabrosa;Z;NA;NA
Scheinmalve;Hybrid-S.;Anisodontea;A. hybridum;Z;NA;NA
Strauchpappel, Strauchmalve;Bäumchenähnliche St.;Lavatera;L. arborea;Z;NA;NA
Strauchpappel, Strauchmalve;Sommer-St., Garten-St.;Lavatera;L. trimestris;Z;NA;NA
Strauchpappel, Strauchmalve;Thüringer St.;Lavatera;L. thuringiaca;Z;NA;W
Strauchpappel, Strauchmalve;Südfranzösische St.;Lavatera;L. olbia;Z;NA;NA
Eibisch;Echter E.;Althaea;A. officinalis;Z;N;NA
Eibisch;Hanfblättriger E.;Althaea;A. cannabina;Z;NA;NA
Stockrose, Stockmalve;Garten-S.;Alcea;A. rosea;Z;NA;NA
Sonnenauge;Garten-S.;Heliopsis;H. helianthoides;Z;NA;NA
Stockrose, Stockmalve;Gelbe S.;Alcea;A. rugosa;Z;NA;NA
Silberwurz;Gelbe S.;Dryas;D. drummondii;Z;NA;NA
Malve;Spitzblatt-M., Sigmarswurz;Malva;M. alcea;Z;NA;W
Malve;Moschus-M.;Malva;M. moschata;Z;NA;W
Malve;Quirl-M.;Malva;M. verticillata;N;NA;W
Minze;Quirl-M.;Mentha;M. × verticillata;Z;NA;NA
Malve;Wilde M., Rosspappel, Große Käsepappel;Malva;M. sylvestris;Z;NA;W
Präriemalve, Doppelmalve;Weiße P.;Sidalcea;S. candida;Z;NA;NA
Pestwurz;Weiße P.;Petasites;P. albus;Z;NA;W
Präriemalve, Doppelmalve;Malvenblütige P.;Sidalcea;S. malviflora;Z;NA;NA
Mohnmalve;Außenkelchlose M.;Callirhoë;C. digitata;Z;NA;NA
Mohnmalve;Niedrige M.;Callirhoë;C. involucrata;Z;NA;NA
Anode, Spießmalve;Anode;Anoda;A. cristata;Z;NA;NA
Roseneibisch;Chinesischer R.;Hibiscus;H. rosa-sinensis;Z;NA;NA
Roseneibisch;Sumpf-R.;Hibiscus;H. moscheutos;Z;NA;NA
Rispengras, Rispe;Sumpf-R.;Poa;P. palustris;Z;NA;W
Roseneibisch;Stunden-R., Garten-R.;Hibiscus;H. trionum;Z;NA;W
Roseneibisch;Rosella-R.;Hibiscus;H. sabdariffa;Z;NA;NA
Bisameibisch;Maniok-B.;Abelmoschus;A. manihot;Z;NA;NA
Bisameibisch;Moschus-B.;Abelmoschus;A. moschatus;Z;NA;NA
Bisameibisch;Okra-B., Lady’s Finger;Abelmoschus;A. esculentus;Z;NA;NA
Buchsbaum;Gewöhnlicher B.;Buxus;B. sempervirens;Z;NA;W
Blutweiderich;Gewöhnlicher B.;Lythrum;L. salicaria;Z;NA;W
Beinwell;Gewöhnlicher B.;Symphytum;S. officinale;Z;NA;W
Beifuß, Estragon, Wermut, Edelraute;Gewöhnlicher B.;Artemisia;A. vulgaris;Z;N;NA
Ysander, Dickmännchen;Japanischer Y.;Pachysandra;P. terminalis;Z;NA;NA
Ysander, Dickmännchen;Amerikanischer Y.;Pachysandra;P. procumbens;Z;NA;NA
Ysander, Dickmännchen;Achselblättriger Y.;Pachysandra;P. axillaris;Z;NA;NA
Rizinus, Wunderbaum;Rizinus, Wunderbaum;Ricinus;R. communis;Z;NA;NA
Wolfsmilch;Spring-W.;Euphorbia;E. lathyris;Z;NA;W
Wolfsmilch;Weißrandige W., Schnee auf dem Berge;Euphorbia;E. marginata;Z;NA;NA
Wolfsmilch;Poinsettien-W., Feuer in den Bergen;Euphorbia;E. cyathophora;Z;NA;NA
Wolfsmilch;Dornige W.;Euphorbia;E. spinosa;Z;NA;NA
Wolfsmilch;Dornbusch-W.;Euphorbia;E. acanthothamnos;Z;NA;NA
Wolfsmilch;Mandel-W.;Euphorbia;C. flammula;Z;NA;W
Wolfsmilch;Palisaden-W.;Euphorbia;E. characias;Z;NA;NA
Wolfsmilch;Walzen-W.;Euphorbia;E. myrsinites;Z;NA;NA
Wolfsmilch;Zypressen-W.;Euphorbia;E. cyparissias;Z;NA;W
Wolfsmilch;Nizza-W.;Euphorbia;E. nicaeensis;Z;NA;NA
Wolfsmilch;Steppen-W.;Euphorbia;E. seguieriana;Z;NA;W
Wolfsmilch;Rasen-W.;Euphorbia;E. capitulata;Z;NA;NA
Wolfsmilch;Steppen-W.;Euphorbia;E. seguieriana;Z;NA;W
Wolfsmilch;Nizza-W.;Euphorbia;E. nicaeensis;Z;NA;NA
Wolfsmilch;Sumpf-W.;Euphorbia;E. palustris;Z;NA;W
Wolfsmilch;Vielfarbige W.;Euphorbia;E. epithymoides;Z;NA;W
Wolfsmilch;Süße W.;Euphorbia;E. dulcis;Z;NA;W
Wolfsmilch;Warzen-W.;Euphorbia;E. verrucosa;Z;NA;W
Seidelbast;Gewöhnlicher S., Kellerhals;Daphne;D. mezereum;Z;NA;W
Seidelbast;Nordjapanischer S.;Daphne;D. jezoensis;Z;NA;NA
Seidelbast;Altai-S.;Daphne;D. altaica;Z;NA;NA
Seidelbast;Lorbeer-S.;Daphne;D. laureola;Z;NA;W
Seidelbast;Pontischer S.;Daphne;D. pontica;Z;NA;NA
Seidelbast;Jasminähnlicher S.;Daphne;D. jasminea;Z;NA;NA
Seidelbast;Ölbaumähnlicher S.;Daphne;D. oleoides;Z;NA;NA
Seidelbast;Königs-S.;Daphne;D. blagayana;Z;NA;NA
Seidelbast;Bäumchen-S.;Daphne;D. arbuscula;Z;NA;NA
Seidelbast;Felsen-S.;Daphne;D. petraea;Z;NA;NA
Straußgras;Felsen-S.;Agrostis;A. rupestris;Z;NA;W
Seidelbast;Gestreifter S., Steinröschen, Alpenflieder;Daphne;D. striata;Z;NA;W
Seidelbast;Burkwood-S.;Daphne;D.× burkwoodii;Z;NA;W
Seidelbast;Rosmarien-S., Heideröschen;Daphne;D. cneorum;Z;NA;W
Zwergalpenrose, Zwergrösel;Zwergalpenrose;Rhodothamnus;Rh. Chamaecistus;Z;NA;NA
Lorbeerrose, Kalmie;Schmalblättrige L.;Kalmia;K. angustifolia;Z;NA;NA
Lorbeerrose, Kalmie;Poleiblättrige L.;Kalmia;K. polifolia;Z;NA;NA
Lorbeerrose, Kalmie;Breitblättrige L., Berg-L.;Kalmia;K. latifolia;Z;NA;NA
Sandmyrte;Sandmyrte;Leiophyllum;L buxifolium;Z;NA;NA
Moosheide;Arktische M.;Phyllodoce;Ph. aleutica;Z;NA;NA
Moosheide;Japanische M;Phyllodoce;Ph. nipponica;Z;NA;NA
Moosheide;Purpur-M.;Phyllodoce;Ph. breweri;Z;NA;NA
Moosheide;Bläuliche M.;Phyllodoce;Ph. coerulea;Z;NA;NA
Moosheide;Krähenbeerblättrige M.;Phyllodoce;Ph. empetriformis;Z;NA;NA
Glanzheide;Irische G.;Daboecia;D. cantabrica;Z;NA;NA
Alpenazalee, Gämsheide;Alpenazalee, Gämsheide;Loiseleuria;L. procumbens;Z;NA;W
Rhododendron, Alpenrose, Azalee;Dahurische Azalee;Rhododendron;Rh. dauricum;Z;NA;NA
Rhododendron, Alpenrose, Azalee;Stachelspitzige Azalee;Rhododendron;Rh. mucronulatum;Z;NA;NA
Rhododendron, Alpenrose, Azalee;Bewimperte Alpenrose, Almrausch;Rhododendron;Rh. hirsutum;Z;NA;W
Rhododendron, Alpenrose, Azalee;Rostblättrige Alpenrose;Rhododendron;Rh. ferrugineum;Z;NA;W
Rhododendron, Alpenrose, Azalee;Veilchenblauer Rh.;Rhododendron;Rh. impeditum f.;Z;NA;NA
Rhododendron, Alpenrose, Azalee;Rötlicher Rh.;Rhododendron;Rh. russatum f.;Z;NA;NA
Rhododendron, Alpenrose, Azalee;Grauer Rh.;Rhododendron;Rh. hippophaëoides f.;Z;NA;NA
Porst;Sumpf-P.;Ledum;L. palustre;Z;NA;W
Porst;Grönländischer P.;Ledum;L. groenlandicum;Z;NA;W
Schuppenheide;Moosähnliche Sch.;Cassiope;C. hypnoides;Z;NA;NA
Schuppenheide;Steller-Sch.;Cassiope;C. stelleriana;Z;NA;NA
Schuppenheide;Vierkant-Sch.;Cassiope;C. tetragona;Z;NA;NA
Schuppenheide;Bärlappähnliche Sch.;Cassiope;C. lycopodioides;Z;NA;NA
Schuppenheide;Weiße Sch.;Cassiope;C. mertensiana;Z;NA;NA
Schwalbenwurz;Weiße Sch.;Vincetoxicum;V. hirundinaria;Z;NA;W
Scheinkalla;Weiße Sch.;Lysichiton;L. camtschatcensis;Z;NA;NA
Rebhuhnbeere, Scheinbeere;Niedere R.;Gaultheria;G. procumbens;Z;NA;NA
Rebhuhnbeere, Scheinbeere;Stechende R., Torfmyrte;Gaultheria;G. mucronata;Z;NA;NA
Rebhuhnbeere, Scheinbeere;Miquel-R.;Gaultheria;G. miqueliana;Z;NA;NA
Rebhuhnbeere, Scheinbeere;Hohe R.;Gaultheria;G. shallon;Z;NA;NA
Gränke, Rosmarinheide;Polei-G., Rosmarinheide;Andromeda;A. polifolia;Z;NA;W
Gränke, Rosmarinheide;Behaarte G., Behaarte Rosmarinheide;Andromeda;A. glaucophylla;Z;NA;NA
Zenobie;Gewöhnliche Z.;Zenobia;Z. pulverulenta;Z;NA;NA
Torfgränke, Zwerglorbeer;Torfgränke;Chamaedaphne;Ch. calyculata;Z;NA;NA
Bärentraube;Alpen-B.;Arctostaphylos;A. alpinus;Z;NA;W
Bartfaden;Alpen-B.;Penstemon;P. alpinus;Z;NA;NA
Berufkraut, Feinstrahl;Alpen-B.;Erigeron;E. alpinus;Z;NA;W
Bergscharte;Alpen-B.;Stemmacantha;St. rhapontica;Z;NA;NA
Bärentraube;Echte B.;Arctostaphylos;A. uva-ursi;N;Z;NA
Heidelbeere, Preiselbeere, Moosbeere;Großfrüchtige Moosbeere, Krannbeere;Vaccinium;V. macrocarpon;Z;NA;W
Heidelbeere, Preiselbeere, Moosbeere;Gewöhnliche Moosbeere;Vaccinium;V. oxycoccus;Z;NA;W
Heidelbeere, Preiselbeere, Moosbeere;Preiselbeere, Kronsbeere;Vaccinium;V. vitis-idaea;N;Z;NA
Heidelbeere, Preiselbeere, Moosbeere;Amerikanische H.;Vaccinium;V. corymbosum;Z;N;NA
Heidelbeere, Preiselbeere, Moosbeere;Moor-H., Rauschbeere, Trunkelbeere;Vaccinium;V. uliginosum;Z;NA;W
Heidelbeere, Preiselbeere, Moosbeere;Heidelbeere, Blaubeere;Vaccinium;V. myrtillus;Z;NA;W
Heidelbeere, Preiselbeere, Moosbeere;Kaukasische H.;Vaccinium;V. arctostaphylos;Z;NA;NA
Heidekraut;Heidekraut, Besenheide;Calluna;C. vulgaris;Z;NA;W
Heide;Schlanke H.;Erica;E. gracilis;Z;NA;NA
Heide;Glocken-H.;Erica;E. tetralix;Z;NA;W
Heide;Steife H.;Erica;E. terminalis;Z;NA;NA
Heide;Graue H.;Erica;E. cinerea;Z;NA;NA
Heide;Wimper-H.;Erica;E. ciliaris;Z;NA;NA
Heide;Cornwall-H.;Erica;E. vagans;Z;NA;NA
Heide;Schnee-H.;Erica;E. carnea;Z;NA;W
Heide;Purpur-H.;Erica;E. erigena;Z;NA;NA
Ährenheide;Ährenheide;Bruckenthalia;B. spiculifolia;Z;NA;NA
Krähenbeere;Rotfrüchtige K.;Empetrum;E. rubrum;Z;NA;NA
Krähenbeere;Zwittrige K.;Empetrum;E. hermaphroditum;Z;NA;W
Bronzeblatt, Zauberstab;Bronzeblatt, Zauberstab;Galax;G. urceolata;Z;NA;NA
Winterblatt;Alpenglöckchenähnliches W.;Shortia;Sh. soldanelloides;Z;NA;NA
Winterblatt;Galaxblättriges W.;Shortia;Sh. galacifolia;Z;NA;NA
Winterblatt;Einblütiges W.;Shortia;Sh. uniflora;Z;NA;NA
Gilbweiderich, Felberich;Purpurblütiger F.;Lysimachia;L. atropurpurea;Z;NA;NA
Gilbweiderich, Felberich;Iberischer F.;Lysimachia;L. ephemerum;Z;NA;NA
Gilbweiderich, Felberich;Fortune-F.;Lysimachia;L. fortunei;Z;NA;NA
Gilbweiderich, Felberich;Schnee-F., Entenschnabel-F.;Lysimachia;L. clethroides;Z;NA;NA
Gilbweiderich, Felberich;Schwerähriger F.;Lysimachia;L. barystachys;Z;NA;NA
Gilbweiderich, Felberich;Strauß-G.;Lysimachia;L. thyrsiflora;Z;NA;W
Glockenblume;Strauß-G.;Campanula;C. thyrsoides;Z;NA;W
Gilbweiderich, Felberich;Gedrängtblütiger G.;Lysimachia;L. congestiflora;Z;NA;NA
Gilbweiderich, Felberich;Henry-G.;Lysimachia;L. henryi;Z;NA;NA
Gilbweiderich, Felberich;Bewimperter G.;Lysimachia;L. ciliata;Z;NA;NA
Gilbweiderich, Felberich;Gewöhnlicher G.;Lysimachia;L. vulgaris;Z;NA;W
Gilbweiderich, Felberich;Drüsiger G.;Lysimachia;L. punctata;Z;NA;W
Gilbweiderich, Felberich;Pfennig-G., Pfennigkraut;Lysimachia;L. nummularia;Z;NA;W
Gilbweiderich, Felberich;Hain-G.;Lysimachia;L. nemorum;Z;NA;W
Siebenstern;Europäischer S.;Trientalis;T. europaea;Z;NA;W
Gauchheil;Mittelmeer-G.;Anagallis;A. monellii;Z;NA;NA
Gauchheil;Zarter G.;Anagallis;A. tenella;Z;NA;W
Gauchheil;Wechselblättriger G.;Anagallis;A. alternifolia var. repens;Z;NA;NA
Alpenveilchen;Zimmer-A.;Cyclamen;C. persicum;Z;NA;NA
Alpenveilchen;Libysches A.;Cyclamen;C. rohlfsianum;Z;NA;NA
Alpenveilchen;Griechisches A.;Cyclamen;C. graecum;Z;NA;NA
Alpenveilchen;Zyprisches A.;Cyclamen;C. cyprium;Z;NA;NA
Alpenveilchen;Herbst-A., Neapolitanisches A.;Cyclamen;C. hederifolium;Z;NA;NA
Alpenveilchen;Algerisches A.;Cyclamen;C. africanum;Z;NA;NA
Alpenveilchen;Wildes A.;Cyclamen;C. purpurascens;Z;NA;W
Alpenveilchen;Türkisches A.;Cyclamen;C. cilicium;Z;NA;NA
Alpenveilchen;Wunderbares A.;Cyclamen;C. mirabile;Z;NA;NA
Alpenveilchen;Balearen-A.;Cyclamen;C. balearicum;Z;NA;NA
