Rittersporn;Orientalischer R.;Consolida
Wiesenraute;Alpen-W.;
Wiesenraute;Chinesische W.;
Wiesenraute;Akelei-W.;
Wiesenraute;Gelbe W.;
Wiesenraute;Blaugrüne W., Pracht-W.;
Rautenanemone;Rautenanemone;
Windröschen, Anemone;Weinblättrige A.;
Windröschen, Anemone;Filzblättrige A.;
Windröschen, Anemone;Herbst-A.;
Windröschen, Anemone;Carolina-A.;
Windröschen, Anemone;Westmediterrane A.;
Windröschen, Anemone;Garten-A., Kronen-A.;
Windröschen, Anemone;Stern-A.;
Windröschen, Anemone;Pfauen-A.;
Windröschen, Anemone;Monte Baldo-W., Tiroler W.;
Windröschen, Anemone;Spanische A.;
Windröschen, Anemone;Felsen-W.;
Windröschen, Anemone;Großes W.;
Windröschen, Anemone;Pazifisches W.;
Windröschen, Anemone;Virginische A.;
Windröschen, Anemone;Langkopf-A.;
Windröschen, Anemone;Richardson-A.;
Windröschen, Anemone;Bach-W.;
Windröschen, Anemone;Westhimalaische A.;
Windröschen, Anemone;Narzissen-W., Berghähnlein;
Windröschen, Anemone;Kanadisches W.;
Windröschen, Anemone;Gabel-A.;
Windröschen, Anemone;Narzissen-W.,Berghähnlein;
Windröschen, Anemone;Fiederblättrige A.;
Windröschen, Anemone;Löffelblättrige A.;
Windröschen, Anemone;Stumpflappige A.;
Windröschen, Anemone;Apenninen-W.;
Windröschen, Anemone;Balkan-W.;
Windröschen, Anemone;Baikal-W.;
Windröschen, Anemone;Schlaffe A.;
Windröschen, Anemone;Rückwärtsgebogene A.;
Windröschen, Anemone;Gelbes W.;
Windröschen, Anemone;Dreiblatt-W.;
Windröschen, Anemone;Altai-W.;
Windröschen, Anemone;Busch-W.;
Leberblümchen;Leberblümchen;
Leberblümchen;Siebenbürger L.;
Küchenschelle, Kuhschelle;Alpen-K.;
Küchenschelle, Kuhschelle;Goldgelbe K.;
Küchenschelle, Kuhschelle;Brocken-K., Brockenanemone;
Küchenschelle, Kuhschelle;Frühlings-K.;
Küchenschelle, Kuhschelle;Gelbliche K.;
Küchenschelle, Kuhschelle;Finger-K., Stern-K.;
Küchenschelle, Kuhschelle;Berg-K.;
Küchenschelle, Kuhschelle;Kaukasische K.;
Küchenschelle, Kuhschelle;Wiesen-K.;
Küchenschelle, Kuhschelle;Slawische K.;
Küchenschelle, Kuhschelle;Steirische K.;
Küchenschelle, Kuhschelle;Gewöhnliche K.;
